id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
491609,Method,android.media.RingtoneManager.getSettingForTypeBySlot,media/java/android/media/RingtoneManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'type-type slotId'}","[{'type': 'Rename Method', 'source_name': 'android.media.RingtoneManager.getSettingForType', 'source_param': 'type'}, {'type': 'Add Parameter', 'source_name': 'android.media.RingtoneManager.getSettingForType', 'source_param': 'type'}]"
560140,Method,com.android.systemui.plugins.GlobalActions.showShutdownUi,packages/SystemUI/plugin/src/com/android/systemui/plugins/GlobalActions.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'isReboot reason-isReboot reason rebootCustom'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.plugins.GlobalActions.showShutdownUi', 'source_param': 'isReboot reason'}]"
560150,Method,com.android.systemui.plugins.GlobalActions.GlobalActionsManager.reboot,packages/SystemUI/plugin/src/com/android/systemui/plugins/GlobalActions.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'safeMode-safeMode reason'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.plugins.GlobalActions.GlobalActionsManager.reboot', 'source_param': 'safeMode'}]"
565800,Method,com.android.keyguard.KeyguardUpdateMonitor.BatteryStatus.BatteryStatus,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'status level plugged health maxChargingWattage-status level plugged health maxChargingWattage currChargingVolt currBatteryTemp'}",[]
573050,Method,com.android.systemui.doze.DozeScreenBrightness.DozeScreenBrightness,packages/SystemUI/src/com/android/systemui/doze/DozeScreenBrightness.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'context service sensorManager lightSensor host handler defaultDozeBrightness sensorToBrightness sensorToScrimOpacity debuggable-context service sensorManager lightSensor host handler defaultDozeBrightness sensorToBrightness sensorToScrimOpacity debuggable defaultPulseBrightness'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.doze.DozeScreenBrightness.DozeScreenBrightness', 'source_param': 'context service sensorManager lightSensor host handler defaultDozeBrightness sensorToBrightness sensorToScrimOpacity debuggable'}]"
574719,Method,com.android.systemui.globalactions.GlobalActionsComponent.handleShowShutdownUi,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsComponent.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'isReboot reason-isReboot reason rebootCustom'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.globalactions.GlobalActionsComponent.handleShowShutdownUi', 'source_param': 'isReboot reason'}]"
574730,Method,com.android.systemui.globalactions.GlobalActionsComponent.reboot,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsComponent.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'safeMode-safeMode reason'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.globalactions.GlobalActionsComponent.reboot', 'source_param': 'safeMode'}]"
575299,Method,com.android.systemui.globalactions.GlobalActionsImpl.showShutdownUi,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsImpl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'isReboot reason-isReboot reason rebootCustom'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.globalactions.GlobalActionsImpl.showShutdownUi', 'source_param': 'isReboot reason'}]"
581834,Method,com.android.systemui.qs.QSFooter.setQSPanel,packages/SystemUI/src/com/android/systemui/qs/QSFooter.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'panel-panel quickQSPanel'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.qs.QSFooter.setQSPanel', 'source_param': 'panel'}]"
581941,Method,com.android.systemui.qs.QSFooterImpl.setQSPanel,packages/SystemUI/src/com/android/systemui/qs/QSFooterImpl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'qsPanel-qsPanel quickQSPanel'}","[{'type': 'Add Parameter', 'source_name': 'com.android.systemui.qs.QSFooterImpl.setQSPanel', 'source_param': 'qsPanel'}]"
