id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
563740,Class,com.android.keyguard.KeyguardClockSwitch,packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable']-[]"", 'class_body_modify': '-'}",[]
581417,Class,com.android.systemui.qs.QSContainerImpl,packages/SystemUI/src/com/android/systemui/qs/QSContainerImpl.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable', 'com.android.systemui.omni.StatusBarHeaderMachine.IStatusBarHeaderMachineObserver']-[]"", 'class_body_modify': '-'}",[]
581855,Class,com.android.systemui.qs.QSFooterImpl,packages/SystemUI/src/com/android/systemui/qs/QSFooterImpl.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable', 'com.android.systemui.omni.OmniSettingsService.OmniSettingsObserver', 'com.android.systemui.statusbar.policy.UserInfoController.OnUserInfoChangedListener', 'com.android.systemui.qs.QSFooter', 'android.view.View.OnClickListener']-['com.android.systemui.statusbar.policy.UserInfoController.OnUserInfoChangedListener', 'com.android.systemui.qs.QSFooter', 'android.view.View.OnClickListener']"", 'class_body_modify': '-'}",[]
582812,Class,com.android.systemui.qs.QuickStatusBarHeader,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable', 'com.android.systemui.statusbar.policy.NextAlarmController.NextAlarmChangeCallback', 'com.android.systemui.statusbar.policy.ZenModeController.Callback', 'android.view.View.OnClickListener']-['com.android.systemui.statusbar.policy.NextAlarmController.NextAlarmChangeCallback', 'com.android.systemui.statusbar.policy.ZenModeController.Callback', 'android.view.View.OnClickListener']"", 'class_body_modify': '-'}",[]
586975,Class,com.android.systemui.settings.BrightnessDialog,packages/SystemUI/src/com/android/systemui/settings/BrightnessDialog.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable']-[]"", 'class_body_modify': '-'}",[]
602836,Class,com.android.systemui.statusbar.phone.LockIcon,packages/SystemUI/src/com/android/systemui/statusbar/phone/LockIcon.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable', 'com.android.systemui.statusbar.policy.ConfigurationController.ConfigurationListener', 'com.android.systemui.statusbar.policy.UserInfoController.OnUserInfoChangedListener', 'com.android.systemui.statusbar.policy.UserInfoController.OnUserInfoChangedListener', 'android.view.ViewTreeObserver.OnPreDrawListener', 'com.android.systemui.plugins.statusbar.StatusBarStateController.StateListener', 'com.android.systemui.statusbar.phone.UnlockMethodCache.OnUnlockMethodChangedListener', 'com.android.systemui.statusbar.policy.OnHeadsUpChangedListener']-['com.android.systemui.statusbar.policy.ConfigurationController.ConfigurationListener', 'com.android.systemui.statusbar.policy.UserInfoController.OnUserInfoChangedListener', 'com.android.systemui.statusbar.policy.UserInfoController.OnUserInfoChangedListener', 'android.view.ViewTreeObserver.OnPreDrawListener', 'com.android.systemui.plugins.statusbar.StatusBarStateController.StateListener', 'com.android.systemui.statusbar.phone.UnlockMethodCache.OnUnlockMethodChangedListener', 'com.android.systemui.statusbar.policy.OnHeadsUpChangedListener']"", 'class_body_modify': '-'}",[]
603730,Class,com.android.systemui.statusbar.phone.NavigationBarInflaterView,packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationBarInflaterView.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.statusbar.phone.NavigationModeController.ModeChangedListener', 'com.android.systemui.tuner.TunerService.Tunable', 'com.android.systemui.omni.OmniSettingsService.OmniSettingsObserver']-['com.android.systemui.statusbar.phone.NavigationModeController.ModeChangedListener']"", 'class_body_modify': '-'}",[]
608584,Class,com.android.systemui.statusbar.phone.StatusBarIconController.IconManager,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconController.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.omni.OmniSettingsService.OmniSettingsObserver', 'com.android.systemui.DemoMode']-['com.android.systemui.DemoMode']"", 'class_body_modify': '-'}",[]
609889,Class,com.android.systemui.statusbar.phone.StatusBarWindowView,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarWindowView.java,0,-1,1,"{'parent_interface_modify': ""['com.android.systemui.tuner.TunerService.Tunable']-[]"", 'class_body_modify': '-'}",[]
616185,Class,com.android.systemui.tuner.BatteryPreference,packages/SystemUI/src/com/android/systemui/tuner/BatteryPreference.java,0,-1,1,"{'parent_interface_modify': ""[]-['com.android.systemui.tuner.TunerService.Tunable']"", 'class_body_modify': '-'}",[]
