id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
56351,Variable,android.bluetooth.BluetoothAdapter.mManagerCallback,core/java/android/bluetooth/BluetoothAdapter.java,0,-1,1,{'class_var_modify': '-'},[]
56989,Variable,android.bluetooth.BluetoothCodecConfig.SOURCE_CODEC_TYPE_LDAC,core/java/android/bluetooth/BluetoothCodecConfig.java,0,-1,1,{'class_var_modify': '-'},[]
56991,Variable,android.bluetooth.BluetoothCodecConfig.SOURCE_CODEC_TYPE_MAX,core/java/android/bluetooth/BluetoothCodecConfig.java,0,-1,1,{'class_var_modify': '-'},[]
57273,Variable,android.bluetooth.BluetoothDevice.sStateChangeCallback,core/java/android/bluetooth/BluetoothDevice.java,0,-1,1,{'class_var_modify': '-'},[]
58728,Variable,android.bluetooth.BluetoothHeadset.mService,core/java/android/bluetooth/BluetoothHeadset.java,0,-1,1,"{'annotation_modify': ""['com.android.internal.annotations.GuardedBy']-[]"", 'class_var_modify': '-'}",[]
58865,Variable,android.bluetooth.BluetoothHeadset.mConnection,core/java/android/bluetooth/BluetoothHeadset.java,0,-1,1,{'class_var_modify': '-'},[]
60170,Variable,android.bluetooth.BluetoothProfile.MAX_PROFILE_ID,core/java/android/bluetooth/BluetoothProfile.java,0,-1,1,{'class_var_modify': '-'},[]
61068,Variable,android.bluetooth.le.AdvertiseData.CREATOR,core/java/android/bluetooth/le/AdvertiseData.java,0,-1,1,{'class_var_modify': '-'},[]
61939,Variable,android.bluetooth.le.ScanFilter.CREATOR,core/java/android/bluetooth/le/ScanFilter.java,0,-1,1,{'class_var_modify': '-'},[]
70603,Variable,android.content.pm.ApplicationInfo.descriptionRes,core/java/android/content/pm/ApplicationInfo.java,0,-1,1,{'class_var_modify': '-'},[]
70605,Variable,android.content.pm.ApplicationInfo.manageSpaceActivityName,core/java/android/content/pm/ApplicationInfo.java,0,-1,1,{'class_var_modify': '-'},[]
70620,Variable,android.content.pm.ApplicationInfo.FLAG_SUPPORTS_NORMAL_SCREENS,core/java/android/content/pm/ApplicationInfo.java,0,-1,1,{'class_var_modify': '-'},[]
95116,Variable,android.hardware.camera2.impl.CameraMetadataNative.mBufferSize,core/java/android/hardware/camera2/impl/CameraMetadataNative.java,0,-1,1,{'class_var_modify': '-'},[]
120735,Variable,android.nfc.cardemulation.AidGroup.aids,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120736,Variable,android.nfc.cardemulation.AidGroup.category,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120737,Variable,android.nfc.cardemulation.AidGroup.description,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120785,Variable,android.nfc.cardemulation.ApduServiceInfo.mService,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120786,Variable,android.nfc.cardemulation.ApduServiceInfo.mDescription,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120787,Variable,android.nfc.cardemulation.ApduServiceInfo.mOnHost,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120790,Variable,android.nfc.cardemulation.ApduServiceInfo.mStaticAidGroups,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120791,Variable,android.nfc.cardemulation.ApduServiceInfo.mDynamicAidGroups,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120792,Variable,android.nfc.cardemulation.ApduServiceInfo.mRequiresDeviceUnlock,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120793,Variable,android.nfc.cardemulation.ApduServiceInfo.mBannerResourceId,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120794,Variable,android.nfc.cardemulation.ApduServiceInfo.mUid,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
120795,Variable,android.nfc.cardemulation.ApduServiceInfo.mSettingsActivityName,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
512277,Variable,android.media.AudioFormat.SURROUND_SOUND_ENCODING,media/java/android/media/AudioFormat.java,0,-1,1,{'class_var_modify': '-'},[]
556560,Variable,javax.obex.ClientOperation.TAG,obex/javax/obex/ClientOperation.java,0,-1,1,{'class_var_modify': '-'},[]
556642,Variable,javax.obex.ClientSession.TAG,obex/javax/obex/ClientSession.java,0,-1,1,{'class_var_modify': '-'},[]
556788,Variable,javax.obex.ObexHelper.VDBG,obex/javax/obex/ObexHelper.java,0,-1,1,{'class_var_modify': '-'},[]
557106,Variable,javax.obex.ServerOperation.TAG,obex/javax/obex/ServerOperation.java,0,-1,1,{'class_var_modify': '-'},[]
589454,Variable,com.android.settingslib.bluetooth.CachedBluetoothDevice.mLocalAdapter,packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,0,-1,1,{'class_var_modify': '-'},[]
590330,Variable,com.android.settingslib.bluetooth.LocalBluetoothProfileManager.mEventManager,packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,0,-1,1,"{'access_modify': 'private-protected', 'class_var_modify': '-'}",[]
590338,Variable,com.android.settingslib.bluetooth.LocalBluetoothProfileManager.mHidProfile,packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,0,-1,1,{'class_var_modify': '-'},[]
590342,Variable,com.android.settingslib.bluetooth.LocalBluetoothProfileManager.mPanProfile,packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,0,-1,1,{'class_var_modify': '-'},[]
590344,Variable,com.android.settingslib.bluetooth.LocalBluetoothProfileManager.mPbapProfile,packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,0,-1,1,{'class_var_modify': '-'},[]
592623,Variable,com.android.settingslib.fuelgauge.BatteryStatus.maxChargingWattage,packages/SettingsLib/src/com/android/settingslib/fuelgauge/BatteryStatus.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
592626,Variable,com.android.settingslib.fuelgauge.BatteryStatus.present,packages/SettingsLib/src/com/android/settingslib/fuelgauge/BatteryStatus.java,0,-1,1,{'class_var_modify': '-'},[]
593839,Variable,com.android.settingslib.location.SettingsInjector.mContext,packages/SettingsLib/src/com/android/settingslib/location/SettingsInjector.java,0,-1,1,"{'access_modify': 'private-protected', 'class_var_modify': '-'}",[]
596608,Variable,com.android.settingslib.wifi.AccessPoint.SECURITY_OWE,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,0,-1,1,{'class_var_modify': '-'},[]
596609,Variable,com.android.settingslib.wifi.AccessPoint.SECURITY_SAE,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,0,-1,1,{'class_var_modify': '-'},[]
596612,Variable,com.android.settingslib.wifi.AccessPoint.SECURITY_MAX_VAL,packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,0,-1,1,{'class_var_modify': '-'},[]
597505,Variable,com.android.settingslib.wifi.WifiTracker.mReceiver,packages/SettingsLib/src/com/android/settingslib/wifi/WifiTracker.java,0,-1,1,{'class_var_modify': '-'},[]
598720,Variable,com.android.settingslib.bluetooth.A2dpProfileTest.mShadowBluetoothAdapter,packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java,0,-1,1,{'class_var_modify': '-'},[]
598728,Variable,com.android.settingslib.bluetooth.A2dpProfileTest.CODEC_NAMES,packages/SettingsLib/tests/robotests/src/com/android/settingslib/bluetooth/A2dpProfileTest.java,0,-1,1,{'class_var_modify': '-'},[]
611837,Variable,com.android.keyguard.EmergencyButton.mInfoCallback,packages/SystemUI/src/com/android/keyguard/EmergencyButton.java,0,-1,1,{'class_var_modify': '-'},[]
612170,Variable,com.android.keyguard.KeyguardConstants.DEBUG,packages/SystemUI/src/com/android/keyguard/KeyguardConstants.java,0,-1,1,{'class_var_modify': '-'},[]
612171,Variable,com.android.keyguard.KeyguardConstants.DEBUG_SIM_STATES,packages/SystemUI/src/com/android/keyguard/KeyguardConstants.java,0,-1,1,{'class_var_modify': '-'},[]
612172,Variable,com.android.keyguard.KeyguardConstants.DEBUG_BIOMETRIC_WAKELOCK,packages/SystemUI/src/com/android/keyguard/KeyguardConstants.java,0,-1,1,{'class_var_modify': '-'},[]
612311,Variable,com.android.keyguard.KeyguardHostView.mUpdateCallback,packages/SystemUI/src/com/android/keyguard/KeyguardHostView.java,0,-1,1,{'class_var_modify': '-'},[]
613658,Variable,com.android.keyguard.KeyguardStatusView.mInfoCallback,packages/SystemUI/src/com/android/keyguard/KeyguardStatusView.java,0,-1,1,{'class_var_modify': '-'},[]
613791,Variable,com.android.keyguard.KeyguardUpdateMonitor.MSG_TELEPHONY_CAPABLE,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,0,-1,1,{'class_var_modify': '-'},[]
613826,Variable,com.android.keyguard.KeyguardUpdateMonitor.mTelephonyCapable,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,0,-1,1,{'class_var_modify': '-'},[]
614107,Variable,com.android.keyguard.KeyguardUpdateMonitor.mBroadcastReceiver,packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,0,-1,1,{'class_var_modify': '-'},[]
616950,Variable,com.android.systemui.BatteryMeterView.mBatteryStateUnknown,packages/SystemUI/src/com/android/systemui/BatteryMeterView.java,0,-1,1,{'class_var_modify': '-'},[]
616951,Variable,com.android.systemui.BatteryMeterView.mUnknownStateDrawable,packages/SystemUI/src/com/android/systemui/BatteryMeterView.java,0,-1,1,{'class_var_modify': '-'},[]
625807,Variable,com.android.systemui.globalactions.GlobalActionsDialog.SinglePressAction.mMessageResId,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,0,-1,1,"{'access_modify': 'private-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
627227,Variable,com.android.systemui.keyguard.KeyguardViewMediator.mUpdateCallback,packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,0,-1,1,{'class_var_modify': '-'},[]
632392,Variable,com.android.systemui.qs.carrier.QSCarrierGroupController.mSignalCallback,packages/SystemUI/src/com/android/systemui/qs/carrier/QSCarrierGroupController.java,0,-1,1,{'class_var_modify': '-'},[]
632911,Variable,com.android.systemui.qs.customize.TileAdapter.mSizeLookup,packages/SystemUI/src/com/android/systemui/qs/customize/TileAdapter.java,0,-1,1,{'class_var_modify': '-'},[]
632932,Variable,com.android.systemui.qs.customize.TileAdapter.mCallbacks,packages/SystemUI/src/com/android/systemui/qs/customize/TileAdapter.java,0,-1,1,{'class_var_modify': '-'},[]
636876,Variable,com.android.systemui.qs.tiles.CastTile.mSignalCallback,packages/SystemUI/src/com/android/systemui/qs/tiles/CastTile.java,0,-1,1,{'class_var_modify': '-'},[]
639719,Variable,com.android.systemui.screenshot.SaveImageInBackgroundTask.mImageFileName,packages/SystemUI/src/com/android/systemui/screenshot/SaveImageInBackgroundTask.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
643403,Variable,com.android.systemui.statusbar.KeyguardIndicationController.mBatteryPresent,packages/SystemUI/src/com/android/systemui/statusbar/KeyguardIndicationController.java,0,-1,1,{'class_var_modify': '-'},[]
651537,Variable,com.android.systemui.statusbar.notification.row.wrapper.NotificationMediaTemplateViewWrapper.mOnUpdateTimerTick,packages/SystemUI/src/com/android/systemui/statusbar/notification/row/wrapper/NotificationMediaTemplateViewWrapper.java,0,-1,1,{'class_var_modify': '-'},[]
658962,Variable,com.android.systemui.statusbar.phone.KeyguardBottomAreaView.mShowLeftAffordance,packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java,0,-1,1,{'class_var_modify': '-'},[]
658963,Variable,com.android.systemui.statusbar.phone.KeyguardBottomAreaView.mShowCameraAffordance,packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java,0,-1,1,{'class_var_modify': '-'},[]
659130,Variable,com.android.systemui.statusbar.phone.KeyguardBottomAreaView.mUpdateMonitorCallback,packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java,0,-1,1,{'class_var_modify': '-'},[]
659733,Variable,com.android.systemui.statusbar.phone.LockIcon.mOnPreDrawListener,packages/SystemUI/src/com/android/systemui/statusbar/phone/LockIcon.java,0,-1,1,{'class_var_modify': '-'},[]
664472,Variable,com.android.systemui.statusbar.phone.PhoneStatusBarPolicy.mHotspotCallback,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,0,-1,1,{'class_var_modify': '-'},[]
