id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
29926,Variable,android.app.NotificationChannel.ATT_ON_TIME,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29927,Variable,android.app.NotificationChannel.ATT_OFF_TIME,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29928,Variable,android.app.NotificationChannel.ATT_ON_ZEN,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29950,Variable,android.app.NotificationChannel.DEFAULT_ON_TIME,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29951,Variable,android.app.NotificationChannel.DEFAULT_OFF_TIME,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29956,Variable,android.app.NotificationChannel.DEFAULT_ON_ZEN,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29966,Variable,android.app.NotificationChannel.mLightOnTime,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29967,Variable,android.app.NotificationChannel.mLightOffTime,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
29968,Variable,android.app.NotificationChannel.mLightOnZen,core/java/android/app/NotificationChannel.java,1,-1,0,{},[]
48109,Variable,android.content.Intent.ACTION_PACKAGE_NEEDS_OPTIONAL_VERIFICATION,core/java/android/content/Intent.java,1,-1,0,{},[]
65283,Variable,android.hardware.Camera.CAMERA_MSG_STATS_DATA,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65284,Variable,android.hardware.Camera.CAMERA_MSG_META_DATA,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65309,Variable,android.hardware.Camera.EACCESS,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65310,Variable,android.hardware.Camera.ENODEV,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65311,Variable,android.hardware.Camera.EBUSY,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65312,Variable,android.hardware.Camera.EINVAL,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65313,Variable,android.hardware.Camera.ENOSYS,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65314,Variable,android.hardware.Camera.EUSERS,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65315,Variable,android.hardware.Camera.EOPNOTSUPP,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65316,Variable,android.hardware.Camera.mCameraDataCallback,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65317,Variable,android.hardware.Camera.mCameraMetaDataCallback,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65345,Variable,android.hardware.Camera.CameraInfo.CAMERA_SUPPORT_MODE_ZSL,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65346,Variable,android.hardware.Camera.CameraInfo.CAMERA_SUPPORT_MODE_NONZSL,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65557,Variable,android.hardware.Camera.Face.smileDegree,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65558,Variable,android.hardware.Camera.Face.smileScore,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65559,Variable,android.hardware.Camera.Face.blinkDetected,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65560,Variable,android.hardware.Camera.Face.faceRecognised,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65719,Variable,android.hardware.Camera.Parameters.WHITE_BALANCE_MANUAL_CCT,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65738,Variable,android.hardware.Camera.Parameters.SCENE_MODE_ASD,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65754,Variable,android.hardware.Camera.Parameters.SCENE_MODE_BACKLIGHT,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65755,Variable,android.hardware.Camera.Parameters.SCENE_MODE_FLOWERS,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65762,Variable,android.hardware.Camera.Parameters.FOCUS_MODE_NORMAL,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65766,Variable,android.hardware.Camera.Parameters.FOCUS_MODE_MANUAL_POSITION,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65774,Variable,android.hardware.Camera.Parameters.PIXEL_FORMAT_YUV420SP_ADRENO,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65780,Variable,android.hardware.Camera.Parameters.PIXEL_FORMAT_RAW,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65781,Variable,android.hardware.Camera.Parameters.PIXEL_FORMAT_YV12,core/java/android/hardware/Camera.java,1,-1,0,{},[]
65782,Variable,android.hardware.Camera.Parameters.PIXEL_FORMAT_NV12,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66044,Variable,android.hardware.Camera.Parameters.KEY_QC_HFR_SIZE,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66045,Variable,android.hardware.Camera.Parameters.KEY_QC_PREVIEW_FRAME_RATE_MODE,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66046,Variable,android.hardware.Camera.Parameters.KEY_QC_PREVIEW_FRAME_RATE_AUTO_MODE,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66047,Variable,android.hardware.Camera.Parameters.KEY_QC_PREVIEW_FRAME_RATE_FIXED_MODE,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66048,Variable,android.hardware.Camera.Parameters.KEY_QC_GPS_LATITUDE_REF,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66049,Variable,android.hardware.Camera.Parameters.KEY_QC_GPS_LONGITUDE_REF,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66050,Variable,android.hardware.Camera.Parameters.KEY_QC_GPS_ALTITUDE_REF,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66051,Variable,android.hardware.Camera.Parameters.KEY_QC_GPS_STATUS,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66052,Variable,android.hardware.Camera.Parameters.KEY_QC_EXIF_DATETIME,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66053,Variable,android.hardware.Camera.Parameters.KEY_QC_TOUCH_AF_AEC,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66054,Variable,android.hardware.Camera.Parameters.KEY_QC_TOUCH_INDEX_AEC,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66055,Variable,android.hardware.Camera.Parameters.KEY_QC_TOUCH_INDEX_AF,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66056,Variable,android.hardware.Camera.Parameters.KEY_QC_MANUAL_FOCUS_POSITION,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66057,Variable,android.hardware.Camera.Parameters.KEY_QC_MANUAL_FOCUS_POS_TYPE,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66058,Variable,android.hardware.Camera.Parameters.KEY_QC_SCENE_DETECT,core/java/android/hardware/Camera.java,1,-1,0,{},[]
66059,Variable,android.hardware.Camera.Parameters.KEY_QC_ISO_MODE,core/java/android/hardware/Camera.java,1,-1,0,{},[]
