id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
42718,Method,android.bluetooth.le.AdvertiseData.AdvertiseData,core/java/android/bluetooth/le/AdvertiseData.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'serviceUuids manufacturerData serviceData includeTxPowerLevel includeDeviceName-serviceUuids manufacturerData serviceData includeTxPowerLevel includeDeviceName transportDiscoveryData'}","[{'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.AdvertiseData.AdvertiseData', 'source_param': 'serviceUuids manufacturerData serviceData includeTxPowerLevel includeDeviceName'}]"
43548,Method,android.bluetooth.le.ScanFilter.ScanFilter,core/java/android/bluetooth/le/ScanFilter.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'name deviceAddress uuid uuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask-name deviceAddress uuid uuidMask solicitationUuid solicitationUuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask'}","[{'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.ScanFilter.ScanFilter', 'source_param': 'name deviceAddress uuid uuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask'}, {'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.ScanFilter.ScanFilter', 'source_param': 'name deviceAddress uuid uuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask'}]"
43716,Method,android.bluetooth.le.ScanRecord.ScanRecord,core/java/android/bluetooth/le/ScanRecord.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'serviceUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes-serviceUuids serviceSolicitationUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes'}","[{'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.ScanRecord.ScanRecord', 'source_param': 'serviceUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes'}]"
183116,Method,android.widget.ListView.fillGap,core/java/android/widget/ListView.java,1,-1,1,"{'access_modify': 'null-private', 'method_body_modify': '-', 'param_modify': 'down-down isPreObtain'}","[{'type': 'Extract Method', 'source_name': 'android.widget.ListView.fillGap', 'source_param': 'down'}]"
183136,Method,android.widget.ListView.fillDown,core/java/android/widget/ListView.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': 'pos nextTop-pos nextTop isPreObtain'}","[{'type': 'Extract Method', 'source_name': 'android.widget.ListView.fillDown', 'source_param': 'pos nextTop'}]"
183148,Method,android.widget.ListView.fillUp,core/java/android/widget/ListView.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': 'pos nextBottom-pos nextBottom isPreObtain'}","[{'type': 'Extract Method', 'source_name': 'android.widget.ListView.fillUp', 'source_param': 'pos nextBottom'}]"
525021,Method,com.android.keyguard.CarrierText.get5GNetworkClass,packages/SystemUI/src/com/android/keyguard/CarrierText.java,1,-1,1,"{'access_modify': 'protected-private', 'return_type_modify': 'void-String', 'method_body_modify': '-', 'param_modify': '-sub'}","[{'type': 'Extract Method', 'source_name': 'com.android.keyguard.CarrierText.updateCarrierText', 'source_param': ''}]"
537498,Method,com.android.systemui.qs.QSFooterImpl.setMobileDataIndicators,packages/SystemUI/src/com/android/systemui/qs/QSFooterImpl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'statusIcon qsIcon statusType qsType activityIn activityOut typeContentDescription description isWide subId roaming-statusIcon qsIcon statusType qsType activityIn activityOut volteIcon typeContentDescription description isWide subId roaming'}",[]
539301,Method,com.android.systemui.qs.tiles.CellularTile.CellSignalCallback.setMobileDataIndicators,packages/SystemUI/src/com/android/systemui/qs/tiles/CellularTile.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'statusIcon qsIcon statusType qsType activityIn activityOut typeContentDescription description isWide subId roaming-statusIcon qsIcon statusType qsType activityIn activityOut volteIcon typeContentDescription description isWide subId roaming'}",[]
562130,Method,com.android.systemui.statusbar.phone.StatusBarSignalPolicy.setMobileDataIndicators,packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarSignalPolicy.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'statusIcon qsIcon statusType qsType activityIn activityOut typeContentDescription description isWide subId roaming-statusIcon qsIcon statusType qsType activityIn activityOut volteIcon typeContentDescription description isWide subId roaming'}",[]
563371,Method,com.android.systemui.statusbar.policy.CallbackHandler.setMobileDataIndicators,packages/SystemUI/src/com/android/systemui/statusbar/policy/CallbackHandler.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'statusIcon qsIcon statusType qsType activityIn activityOut typeContentDescription description isWide subId roaming-statusIcon qsIcon statusType qsType activityIn activityOut volteIcon typeContentDescription description isWide subId roaming'}",[]
565306,Method,com.android.systemui.statusbar.policy.NetworkController.SignalCallback.setMobileDataIndicators,packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'statusIcon qsIcon statusType qsType activityIn activityOut typeContentDescription description isWide subId roaming-statusIcon qsIcon statusType qsType activityIn activityOut volteIcon typeContentDescription description isWide subId roaming'}",[]
567358,Method,com.android.systemui.statusbar.SignalClusterView.setMobileDataIndicators,packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'statusIcon qsIcon statusType qsType activityIn activityOut typeContentDescription description isWide subId roaming-statusIcon qsIcon statusType qsType activityIn activityOut volteIcon typeContentDescription description isWide subId roaming'}",[]
640517,Method,com.android.server.display.DisplayManagerService.assignDisplayIdLocked,services/core/java/com/android/server/display/DisplayManagerService.java,1,-1,1,"{'return_type_modify': 'com.android.server.display.LogicalDisplay-int', 'method_body_modify': '-', 'param_modify': 'device-isDefault physicalId'}","[{'type': 'Extract Method', 'source_name': 'com.android.server.display.DisplayManagerService.addLogicalDisplayLocked', 'source_param': 'device'}]"
642531,Method,com.android.server.display.WifiDisplayController.getWifiP2pChannel,services/core/java/com/android/server/display/WifiDisplayController.java,1,-1,1,"{'return_type_modify': 'void-android.net.wifi.p2p.WifiP2pManager.Channel', 'method_body_modify': '-', 'param_modify': 'networkInfo-'}","[{'type': 'Extract Method', 'source_name': 'com.android.server.display.WifiDisplayController.updateWfdEnableState', 'source_param': ''}, {'type': 'Extract Method', 'source_name': 'com.android.server.display.WifiDisplayController.tryDiscoverPeers', 'source_param': ''}, {'type': 'Extract Method', 'source_name': 'com.android.server.display.WifiDisplayController.stopPeerDiscovery', 'source_param': ''}, {'type': 'Extract Method', 'source_name': 'com.android.server.display.WifiDisplayController.requestPeers', 'source_param': ''}, {'type': 'Extract Method', 'source_name': 'com.android.server.display.WifiDisplayController.handleConnectionChanged', 'source_param': 'networkInfo'}]"
674976,Method,com.android.server.pm.dex.ArtManagerService.prepareAppProfiles,services/core/java/com/android/server/pm/dex/ArtManagerService.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'pkg user-pkg user updateReferenceProfileContent'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}, {'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}]"
674989,Method,com.android.server.pm.dex.ArtManagerService.prepareAppProfiles,services/core/java/com/android/server/pm/dex/ArtManagerService.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'pkg user-pkg user updateReferenceProfileContent'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}, {'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}]"
707819,Method,com.android.server.WiredAccessoryManager.updateLocked,services/core/java/com/android/server/WiredAccessoryManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'newName newState-newName address newState'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.WiredAccessoryManager.updateLocked', 'source_param': 'newName newState'}]"
707834,Method,com.android.server.WiredAccessoryManager.setDevicesState,services/core/java/com/android/server/WiredAccessoryManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'headsetState prevHeadsetState headsetName-headsetState prevHeadsetState headsetNameAddr'}","[{'type': 'Rename Parameter', 'source_name': 'com.android.server.WiredAccessoryManager.setDevicesState', 'source_param': 'headsetState prevHeadsetState headsetName'}]"
707840,Method,com.android.server.WiredAccessoryManager.setDeviceStateLocked,services/core/java/com/android/server/WiredAccessoryManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'headset headsetState prevHeadsetState headsetName-headset headsetState prevHeadsetState headsetNameAddr'}","[{'type': 'Rename Parameter', 'source_name': 'com.android.server.WiredAccessoryManager.setDeviceStateLocked', 'source_param': 'headset headsetState prevHeadsetState headsetName'}]"
724763,Method,android.net.dhcp.DhcpPacket.buildDiscoverPacket,services/net/java/android/net/dhcp/DhcpPacket.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': 'encap transactionId secs clientMac broadcast expectedParams-encap transactionId secs clientMac broadcast expectedParams rapidCommit'}","[{'type': 'Extract Method', 'source_name': 'android.net.dhcp.DhcpPacket.buildDiscoverPacket', 'source_param': 'encap transactionId secs clientMac broadcast expectedParams'}]"
765090,Method,android.provider.Telephony.Sms.addMessageToUri,telephony/java/android/provider/Telephony.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': 'subId resolver uri address body subject date read deliveryReport threadId-subId resolver uri address body subject date read deliveryReport threadId priority'}","[{'type': 'Extract Method', 'source_name': 'android.provider.Telephony.Sms.addMessageToUri', 'source_param': 'subId resolver uri address body subject date read deliveryReport threadId'}]"
773192,Method,android.telephony.PhoneNumberUtils.getCountryIso,telephony/java/android/telephony/PhoneNumberUtils.java,1,-1,1,"{'return_type_modify': 'boolean-String', 'method_body_modify': '-', 'param_modify': 'subId number context useExactMatch-context'}","[{'type': 'Extract Method', 'source_name': 'android.telephony.PhoneNumberUtils.isLocalEmergencyNumberInternal', 'source_param': 'subId number context useExactMatch'}]"
779523,Method,com.android.internal.telephony.cdma.SmsMessage.getSubmitPdu,telephony/java/com/android/internal/telephony/cdma/SmsMessage.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': 'scAddr destAddr message statusReportRequested smsHeader-scAddr destAddr message statusReportRequested smsHeader priority'}","[{'type': 'Extract Method', 'source_name': 'com.android.internal.telephony.cdma.SmsMessage.getSubmitPdu', 'source_param': 'scAddr destAddr message statusReportRequested smsHeader'}]"
779614,Method,com.android.internal.telephony.cdma.SmsMessage.privateGetSubmitPdu,telephony/java/com/android/internal/telephony/cdma/SmsMessage.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': 'destAddrStr statusReportRequested userData-destAddrStr statusReportRequested userData priority'}","[{'type': 'Extract Method', 'source_name': 'com.android.internal.telephony.cdma.SmsMessage.privateGetSubmitPdu', 'source_param': 'destAddrStr statusReportRequested userData'}]"
