id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
707840,Method,com.android.server.WiredAccessoryManager.setDeviceStateLocked,services/core/java/com/android/server/WiredAccessoryManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'headset headsetState prevHeadsetState headsetName-headset headsetState prevHeadsetState headsetNameAddr'}","[{'type': 'Rename Parameter', 'source_name': 'com.android.server.WiredAccessoryManager.setDeviceStateLocked', 'source_param': 'headset headsetState prevHeadsetState headsetName'}]"
640519,Variable,com.android.server.display.DisplayManagerService.assignDisplayIdLocked.physicalId,services/core/java/com/android/server/display/DisplayManagerService.java,1,-1,0,{},[]
779529,Variable,com.android.internal.telephony.cdma.SmsMessage.getSubmitPdu.priority,telephony/java/com/android/internal/telephony/cdma/SmsMessage.java,1,-1,0,{},[]
43548,Method,android.bluetooth.le.ScanFilter.ScanFilter,core/java/android/bluetooth/le/ScanFilter.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'name deviceAddress uuid uuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask-name deviceAddress uuid uuidMask solicitationUuid solicitationUuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask'}","[{'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.ScanFilter.ScanFilter', 'source_param': 'name deviceAddress uuid uuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask'}, {'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.ScanFilter.ScanFilter', 'source_param': 'name deviceAddress uuid uuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask'}]"
674976,Method,com.android.server.pm.dex.ArtManagerService.prepareAppProfiles,services/core/java/com/android/server/pm/dex/ArtManagerService.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'pkg user-pkg user updateReferenceProfileContent'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}, {'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}]"
724770,Variable,android.net.dhcp.DhcpPacket.buildDiscoverPacket.rapidCommit,services/net/java/android/net/dhcp/DhcpPacket.java,1,-1,0,{},[]
765101,Variable,android.provider.Telephony.Sms.addMessageToUri.priority,telephony/java/android/provider/Telephony.java,1,-1,0,{},[]
674989,Method,com.android.server.pm.dex.ArtManagerService.prepareAppProfiles,services/core/java/com/android/server/pm/dex/ArtManagerService.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'pkg user-pkg user updateReferenceProfileContent'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}, {'type': 'Add Parameter', 'source_name': 'com.android.server.pm.dex.ArtManagerService.prepareAppProfiles', 'source_param': 'pkg user'}]"
43716,Method,android.bluetooth.le.ScanRecord.ScanRecord,core/java/android/bluetooth/le/ScanRecord.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'serviceUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes-serviceUuids serviceSolicitationUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes'}","[{'type': 'Add Parameter', 'source_name': 'android.bluetooth.le.ScanRecord.ScanRecord', 'source_param': 'serviceUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes'}]"
773193,Variable,android.telephony.PhoneNumberUtils.getCountryIso.context,telephony/java/android/telephony/PhoneNumberUtils.java,1,-1,0,{},[]
