id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
56787,Variable,android.bluetooth.BluetoothClass.Service.GROUP,core/java/android/bluetooth/BluetoothClass.java,1,-1,0,{},[]
56888,Variable,android.bluetooth.BluetoothCodecConfig.SOURCE_CODEC_TYPE_APTX_ADAPTIVE,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56890,Variable,android.bluetooth.BluetoothCodecConfig.SOURCE_CODEC_TYPE_APTX_TWSP,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56892,Variable,android.bluetooth.BluetoothCodecConfig.SOURCE_CODEC_TYPE_CELT,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56893,Variable,android.bluetooth.BluetoothCodecConfig.SOURCE_CODEC_TYPE_LC3,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56907,Variable,android.bluetooth.BluetoothCodecConfig.SAMPLE_RATE_16000,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56908,Variable,android.bluetooth.BluetoothCodecConfig.SAMPLE_RATE_24000,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56909,Variable,android.bluetooth.BluetoothCodecConfig.SAMPLE_RATE_32000,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56910,Variable,android.bluetooth.BluetoothCodecConfig.SAMPLE_RATE_8000,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
56920,Variable,android.bluetooth.BluetoothCodecConfig.CHANNEL_MODE_JOINT_STEREO,core/java/android/bluetooth/BluetoothCodecConfig.java,1,-1,0,{},[]
57057,Variable,android.bluetooth.BluetoothDevice.ACTION_REMOTE_ISSUE_OCCURRED,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57062,Variable,android.bluetooth.BluetoothDevice.ACTION_TWS_PLUS_DEVICE_PAIR,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57065,Variable,android.bluetooth.BluetoothDevice.EXTRA_BQR,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57066,Variable,android.bluetooth.BluetoothDevice.EXTRA_ISSUE_TYPE,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57067,Variable,android.bluetooth.BluetoothDevice.EXTRA_ERROR_CODE,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57068,Variable,android.bluetooth.BluetoothDevice.EXTRA_ERROR_EVENT_MASK,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57069,Variable,android.bluetooth.BluetoothDevice.EXTRA_LMP_VERSION,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57070,Variable,android.bluetooth.BluetoothDevice.EXTRA_LMP_SUBVER,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57071,Variable,android.bluetooth.BluetoothDevice.EXTRA_MANUFACTURER,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57072,Variable,android.bluetooth.BluetoothDevice.EXTRA_POWER_LEVEL,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57073,Variable,android.bluetooth.BluetoothDevice.EXTRA_LINK_QUALITY,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57074,Variable,android.bluetooth.BluetoothDevice.EXTRA_GLITCH_COUNT,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57079,Variable,android.bluetooth.BluetoothDevice.EXTRA_TWS_PLUS_DEVICE1,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57080,Variable,android.bluetooth.BluetoothDevice.EXTRA_TWS_PLUS_DEVICE2,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57394,Variable,android.bluetooth.BluetoothDevice.EXTRA_GROUP_ID,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
57395,Variable,android.bluetooth.BluetoothDevice.EXTRA_IS_PRIVATE_ADDRESS,core/java/android/bluetooth/BluetoothDevice.java,1,-1,0,{},[]
58613,Variable,android.bluetooth.BluetoothHeadset.STATE_AUDIO_DISCONNECTING,core/java/android/bluetooth/BluetoothHeadset.java,1,-1,0,{},[]
58617,Variable,android.bluetooth.BluetoothHeadset.ACTION_HF_TWSP_BATTERY_STATE_CHANGED,core/java/android/bluetooth/BluetoothHeadset.java,1,-1,0,{},[]
58618,Variable,android.bluetooth.BluetoothHeadset.EXTRA_HF_TWSP_BATTERY_STATE,core/java/android/bluetooth/BluetoothHeadset.java,1,-1,0,{},[]
58619,Variable,android.bluetooth.BluetoothHeadset.EXTRA_HF_TWSP_BATTERY_LEVEL,core/java/android/bluetooth/BluetoothHeadset.java,1,-1,0,{},[]
58627,Variable,android.bluetooth.BluetoothHeadset.mServiceLock,core/java/android/bluetooth/BluetoothHeadset.java,1,-1,0,{},[]
60063,Variable,android.bluetooth.BluetoothProfile.DUN,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60064,Variable,android.bluetooth.BluetoothProfile.GROUP_CLIENT,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60065,Variable,android.bluetooth.BluetoothProfile.BC_PROFILE,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60066,Variable,android.bluetooth.BluetoothProfile.PC_PROFILE,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60067,Variable,android.bluetooth.BluetoothProfile.VCP,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60068,Variable,android.bluetooth.BluetoothProfile.CC_SERVER,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60069,Variable,android.bluetooth.BluetoothProfile.BROADCAST,core/java/android/bluetooth/BluetoothProfile.java,1,-1,0,{},[]
60785,Variable,android.bluetooth.BluetoothUuid.ADVANCE_HEARINGAID_UUID,core/java/android/bluetooth/BluetoothUuid.java,1,-1,0,{},[]
60786,Variable,android.bluetooth.BluetoothUuid.ADVANCE_MEDIA_T_UUID,core/java/android/bluetooth/BluetoothUuid.java,1,-1,0,{},[]
60787,Variable,android.bluetooth.BluetoothUuid.ADVANCE_MEDIA_P_UUID,core/java/android/bluetooth/BluetoothUuid.java,1,-1,0,{},[]
60788,Variable,android.bluetooth.BluetoothUuid.ADVANCE_MEDIA_G_UUID,core/java/android/bluetooth/BluetoothUuid.java,1,-1,0,{},[]
60789,Variable,android.bluetooth.BluetoothUuid.ADVANCE_VOICE_P_UUID,core/java/android/bluetooth/BluetoothUuid.java,1,-1,0,{},[]
60790,Variable,android.bluetooth.BluetoothUuid.ADVANCE_VOICE_T_UUID,core/java/android/bluetooth/BluetoothUuid.java,1,-1,0,{},[]
60942,Variable,android.bluetooth.le.AdvertiseData.mTransportDiscoveryData,core/java/android/bluetooth/le/AdvertiseData.java,1,-1,0,{},[]
60992,Variable,android.bluetooth.le.AdvertiseData.Builder.mTransportDiscoveryData,core/java/android/bluetooth/le/AdvertiseData.java,1,-1,0,{},[]
61796,Variable,android.bluetooth.le.ScanFilter.WIFI_ALLIANCE_ORG_ID,core/java/android/bluetooth/le/ScanFilter.java,1,-1,0,{},[]
61809,Variable,android.bluetooth.le.ScanFilter.mOrgId,core/java/android/bluetooth/le/ScanFilter.java,1,-1,0,{},[]
61810,Variable,android.bluetooth.le.ScanFilter.mTDSFlags,core/java/android/bluetooth/le/ScanFilter.java,1,-1,0,{},[]
61811,Variable,android.bluetooth.le.ScanFilter.mTDSFlagsMask,core/java/android/bluetooth/le/ScanFilter.java,1,-1,0,{},[]
