id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
91394,Class,android.hardware.Camera.Coordinate,core/java/android/hardware/Camera.java,1,-1,0,{},[]
174234,Class,android.util.apk.ApkSignatureVerifier.verifyV1Signature.VerificationData,core/java/android/util/apk/ApkSignatureVerifier.java,1,-1,0,{},[]
588597,Class,com.android.settingslib.bluetooth.BluetoothEventManager.BroadcastStateChangedHandler,packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,1,-1,0,{},[]
588603,Class,com.android.settingslib.bluetooth.BluetoothEventManager.BroadcastKeyGeneratedHandler,packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,1,-1,0,{},[]
588646,Class,com.android.settingslib.bluetooth.BluetoothEventManager.TwspBatteryLevelChangedHandler,packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,1,-1,0,{},[]
588674,Class,com.android.settingslib.bluetooth.BluetoothEventManager.A2dpCodecConfigChangedHandler,packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,1,-1,0,{},[]
588682,Class,com.android.settingslib.bluetooth.BluetoothEventManager.VcpModeChangedHandler,packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,1,-1,0,{},[]
588689,Class,com.android.settingslib.bluetooth.BluetoothEventManager.VcpVolumeChangedHandler,packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,1,-1,0,{},[]
667711,Class,com.android.systemui.statusbar.policy.MobileSignalController.FiveGStateListener,packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,1,-1,0,{},[]
856230,Class,com.android.server.wm.ActivityStackSupervisor.PreferredAppsTask,services/core/java/com/android/server/wm/ActivityStackSupervisor.java,1,-1,0,{},[]
1024609,Class,android.net.wifi.WifiManager.WifiNotificationCallbackProxy,wifi/java/android/net/wifi/WifiManager.java,1,-1,0,{},[]
