id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
26260,Variable,android.app.ActivityThread.getActivity.activityRecord,core/java/android/app/ActivityThread.java,0,-1,1,{'method_var_modify': '-'},[]
26987,Variable,android.app.ActivityThread.handleBindApplication.e,core/java/android/app/ActivityThread.java,0,-1,1,{'method_var_modify': '-'},[]
52588,Variable,android.app.UriGrantsManager.Anonymous_Class.create.b,core/java/android/app/UriGrantsManager.java,0,-1,1,{'method_var_modify': '-'},[]
52591,Variable,android.app.UriGrantsManager.clearGrantedUriPermissions.e,core/java/android/app/UriGrantsManager.java,0,-1,1,{'method_var_modify': '-'},[]
52594,Variable,android.app.UriGrantsManager.getGrantedUriPermissions.castedList,core/java/android/app/UriGrantsManager.java,0,-1,1,{'method_var_modify': '-'},[]
52595,Variable,android.app.UriGrantsManager.getGrantedUriPermissions.e,core/java/android/app/UriGrantsManager.java,0,-1,1,{'method_var_modify': '-'},[]
54490,Variable,android.app.WallpaperManager.Globals.getCurrentWallpaperLocked.e,core/java/android/app/WallpaperManager.java,0,-1,1,{'method_var_modify': '-'},[]
56995,Variable,android.bluetooth.BluetoothCodecConfig.similarCodecFeedingParameters.sampleRate,core/java/android/bluetooth/BluetoothCodecConfig.java,0,-1,1,{'method_var_modify': '-'},[]
56996,Variable,android.bluetooth.BluetoothCodecConfig.similarCodecFeedingParameters.bitsPerSample,core/java/android/bluetooth/BluetoothCodecConfig.java,0,-1,1,{'method_var_modify': '-'},[]
56997,Variable,android.bluetooth.BluetoothCodecConfig.similarCodecFeedingParameters.channelMode,core/java/android/bluetooth/BluetoothCodecConfig.java,0,-1,1,{'method_var_modify': '-'},[]
57171,Variable,android.bluetooth.BluetoothDevice.getService.adapter,core/java/android/bluetooth/BluetoothDevice.java,0,-1,1,{'method_var_modify': '-'},[]
58656,Variable,android.bluetooth.BluetoothHeadset.getConnectedDevices.service,core/java/android/bluetooth/BluetoothHeadset.java,0,-1,1,{'method_var_modify': '-'},[]
58657,Variable,android.bluetooth.BluetoothHeadset.getConnectedDevices.e,core/java/android/bluetooth/BluetoothHeadset.java,0,-1,1,{'method_var_modify': '-'},[]
58695,Variable,android.bluetooth.BluetoothHeadset.isAudioConnected.e,core/java/android/bluetooth/BluetoothHeadset.java,0,-1,1,{'method_var_modify': '-'},[]
59635,Variable,android.bluetooth.BluetoothManager.openGattServer.regStatus,core/java/android/bluetooth/BluetoothManager.java,0,-1,1,{'method_var_modify': '-'},[]
87064,Variable,android.database.RedactingCursor.create.internalRedactions,core/java/android/database/RedactingCursor.java,0,-1,1,{'method_var_modify': '-'},[]
87065,Variable,android.database.RedactingCursor.create.columns,core/java/android/database/RedactingCursor.java,0,-1,1,{'method_var_modify': '-'},[]
87066,Variable,android.database.RedactingCursor.create.i,core/java/android/database/RedactingCursor.java,0,-1,1,{'method_var_modify': '-'},[]
