id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
32654,Method,android.app.ActivityOptions.setLaunchTaskId,core/java/android/app/ActivityOptions.java,0,-1,1,"{'annotation_modify': ""['android.annotation.RequiresPermission']-[]"", 'method_body_modify': '-'}",[]
68531,Method,android.bluetooth.BluetoothDevice.connectGatt,core/java/android/bluetooth/BluetoothDevice.java,1,-1,1,"{'annotation_modify': ""[]-['android.bluetooth.annotations.RequiresBluetoothConnectPermission', 'android.annotation.RequiresPermission']"", 'method_body_modify': '-', 'param_modify': 'context autoConnect callback transport opportunistic phy handler-context autoConnect callback transport opportunistic phy handler eattSupport'}","[{'type': 'Extract Method', 'source_name': 'android.bluetooth.BluetoothDevice.connectGatt', 'source_param': 'context autoConnect callback transport opportunistic phy handler'}]"
69027,Method,android.bluetooth.BluetoothGatt.connect,core/java/android/bluetooth/BluetoothGatt.java,1,-1,1,"{'annotation_modify': ""[]-['android.bluetooth.annotations.RequiresBluetoothConnectPermission', 'android.bluetooth.annotations.RequiresLegacyBluetoothPermission', 'android.annotation.RequiresPermission']"", 'method_body_modify': '-', 'param_modify': 'autoConnect callback handler-autoConnect callback handler eattSupport'}","[{'type': 'Extract Method', 'source_name': 'android.bluetooth.BluetoothGatt.connect', 'source_param': 'autoConnect callback handler'}]"
82656,Method,android.content.pm.ActivityInfo.isChangeEnabled,core/java/android/content/pm/ActivityInfo.java,1,-1,1,"{'access_modify': 'public-private', 'annotation_modify': ""[]-['android.content.pm.ActivityInfo.SizeChangesSupportMode']"", 'return_type_modify': 'boolean-int', 'method_body_modify': '-', 'param_modify': '-changeId'}","[{'type': 'Extract Method', 'source_name': 'android.content.pm.ActivityInfo.supportsSizeChanges', 'source_param': ''}]"
154456,Method,android.permission.PermissionManager.initializeUsageHelper,core/java/android/permission/PermissionManager.java,1,-1,1,"{'annotation_modify': ""[]-['android.annotation.RequiresPermission']"", 'return_type_modify': 'void-List-android.permission.PermGroupUsage', 'method_body_modify': '-', 'param_modify': 'micMuted-'}","[{'type': 'Extract Method', 'source_name': 'android.permission.PermissionManager.getIndicatorAppOpUsageData', 'source_param': 'micMuted'}]"
199916,Method,android.util.SparseArrayMap.get,core/java/android/util/SparseArrayMap.java,0,-1,1,"{'annotation_modify': ""['android.annotation.SuppressLint']-[]"", 'method_body_modify': '-'}",[]
268288,Method,android.window.DisplayAreaOrganizer.getController,core/java/android/window/DisplayAreaOrganizer.java,0,-1,1,"{'annotation_modify': ""['android.annotation.RequiresPermission']-[]"", 'method_body_modify': '-'}",[]
269048,Method,android.window.TaskOrganizer.getController,core/java/android/window/TaskOrganizer.java,0,-1,1,"{'annotation_modify': ""['android.annotation.RequiresPermission']-[]"", 'method_body_modify': '-'}",[]
269168,Variable,android.window.TransitionFilter.mTypeSet,core/java/android/window/TransitionFilter.java,0,-1,1,"{'annotation_modify': ""['com.android.settingslib.transition.SettingsTransitionHelper.TransitionType']-[]"", 'class_var_modify': '-'}",[]
269247,Variable,android.window.TransitionInfo.mType,core/java/android/window/TransitionInfo.java,0,-1,1,"{'annotation_modify': ""['com.android.settingslib.transition.SettingsTransitionHelper.TransitionType']-[]"", 'class_var_modify': '-'}",[]
269248,Variable,android.window.TransitionInfo.mFlags,core/java/android/window/TransitionInfo.java,0,-1,1,"{'annotation_modify': ""['android.view.WindowManager.TransitionFlags']-[]"", 'class_var_modify': '-'}",[]
269274,Method,android.window.TransitionInfo.getType,core/java/android/window/TransitionInfo.java,0,-1,1,"{'annotation_modify': ""['com.android.settingslib.transition.SettingsTransitionHelper.TransitionType']-[]"", 'method_body_modify': '-'}",[]
269945,Method,android.window.WindowOrganizer.getWindowOrganizerController,core/java/android/window/WindowOrganizer.java,0,-1,1,"{'annotation_modify': ""[]-['android.annotation.RequiresPermission']"", 'method_body_modify': '-'}",[]
269967,Method,android.window.WindowProviderService.getInitialDisplayId,core/java/android/window/WindowProviderService.java,1,-1,1,"{'final_modify': 'final-', 'annotation_modify': ""['android.annotation.SuppressLint']-[]"", 'return_type_modify': 'int-android.content.Context', 'method_body_modify': '-', 'param_modify': 'mainThread packageInfo-'}","[{'type': 'Extract Method', 'source_name': 'android.window.WindowProviderService.createServiceBaseContext', 'source_param': 'mainThread packageInfo'}]"
284117,Variable,com.android.internal.jank.InteractionJankMonitor.Session.mReason,core/java/com/android/internal/jank/InteractionJankMonitor.java,0,-1,1,"{'annotation_modify': ""['com.android.internal.jank.FrameTracker.Reasons']-[]"", 'class_var_modify': '-'}",[]
