id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
5882,Method,com.android.server.appsearch.AppSearchManagerService.handleIncomingUser,apex/appsearch/service/java/com/android/server/appsearch/AppSearchManagerService.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'requestedUser callingUid-targetUserHandle callingUid'}","[{'type': 'Rename Parameter', 'source_name': 'com.android.server.appsearch.AppSearchManagerService.handleIncomingUser', 'source_param': 'requestedUser callingUid'}]"
6034,Method,com.android.server.appsearch.external.localstorage.AppSearchImpl.setSchema,apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchImpl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'packageName databaseName schemas visibilityStore schemasNotDisplayedBySystem schemasVisibleToPackages forceOverride version-packageName databaseName schemas visibilityStore schemasNotDisplayedBySystem schemasVisibleToPackages forceOverride version setSchemaStatsBuilder'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.appsearch.external.localstorage.AppSearchImpl.setSchema', 'source_param': 'packageName databaseName schemas visibilityStore schemasNotDisplayedBySystem schemasVisibleToPackages forceOverride version'}]"
6184,Method,com.android.server.appsearch.external.localstorage.AppSearchImpl.getNextPage,apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchImpl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'packageName nextPageToken-packageName nextPageToken statsBuilder'}","[{'type': 'Add Parameter', 'source_name': 'com.android.server.appsearch.external.localstorage.AppSearchImpl.getNextPage', 'source_param': 'packageName nextPageToken'}]"
33306,Method,android.app.ActivityThread.ApplicationThread.scheduleCrash,core/java/android/app/ActivityThread.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'msg typeId-msg typeId extras'}",[]
33548,Method,android.app.ActivityThread.throwRemoteServiceException,core/java/android/app/ActivityThread.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'message typeId-message typeId extras'}","[{'type': 'Add Parameter', 'source_name': 'android.app.ActivityThread.throwRemoteServiceException', 'source_param': 'message typeId'}]"
33711,Method,android.app.ActivityThread.getSystemUiContext,core/java/android/app/ActivityThread.java,1,-1,1,"{'method_body_modify': '-', 'param_modify': '-displayId'}","[{'type': 'Extract Method', 'source_name': 'android.app.ActivityThread.getSystemUiContext', 'source_param': ''}]"
34058,Method,android.app.ActivityThread.handleAttachSplashScreenView,core/java/android/app/ActivityThread.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'r parcelable-r parcelable startingWindowLeash'}","[{'type': 'Add Parameter', 'source_name': 'android.app.ActivityThread.handleAttachSplashScreenView', 'source_param': 'r parcelable'}]"
34063,Method,android.app.ActivityThread.createSplashScreen,core/java/android/app/ActivityThread.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'r decorView parcelable-r decorView parcelable startingWindowLeash'}","[{'type': 'Add Parameter', 'source_name': 'android.app.ActivityThread.createSplashScreen', 'source_param': 'r decorView parcelable'}]"
34433,Method,android.app.ActivityThread.collectComponentCallbacks,core/java/android/app/ActivityThread.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'includeActivities-includeUiContexts'}","[{'type': 'Rename Parameter', 'source_name': 'android.app.ActivityThread.collectComponentCallbacks', 'source_param': 'includeActivities'}]"
34837,Method,android.app.ActivityThreadInternal.collectComponentCallbacks,core/java/android/app/ActivityThreadInternal.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'includeActivities-includeUiContexts'}","[{'type': 'Rename Parameter', 'source_name': 'android.app.ActivityThreadInternal.collectComponentCallbacks', 'source_param': 'includeActivities'}]"
45505,Method,android.app.ClientTransactionHandler.handleAttachSplashScreenView,core/java/android/app/ClientTransactionHandler.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'r parcelable-r parcelable startingWindowLeash'}",[]
59469,Method,android.app.servertransaction.TransferSplashScreenViewStateItem.obtain,core/java/android/app/servertransaction/TransferSplashScreenViewStateItem.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'state parcelable-parcelable startingWindowLeash'}","[{'type': 'Add Parameter', 'source_name': 'android.app.servertransaction.TransferSplashScreenViewStateItem.obtain', 'source_param': 'state parcelable'}, {'type': 'Remove Parameter', 'source_name': 'android.app.servertransaction.TransferSplashScreenViewStateItem.obtain', 'source_param': 'state parcelable'}]"
68531,Method,android.bluetooth.BluetoothDevice.connectGatt,core/java/android/bluetooth/BluetoothDevice.java,1,-1,1,"{'annotation_modify': ""[]-['android.bluetooth.annotations.RequiresBluetoothConnectPermission', 'android.annotation.RequiresPermission']"", 'method_body_modify': '-', 'param_modify': 'context autoConnect callback transport opportunistic phy handler-context autoConnect callback transport opportunistic phy handler eattSupport'}","[{'type': 'Extract Method', 'source_name': 'android.bluetooth.BluetoothDevice.connectGatt', 'source_param': 'context autoConnect callback transport opportunistic phy handler'}]"
69027,Method,android.bluetooth.BluetoothGatt.connect,core/java/android/bluetooth/BluetoothGatt.java,1,-1,1,"{'annotation_modify': ""[]-['android.bluetooth.annotations.RequiresBluetoothConnectPermission', 'android.bluetooth.annotations.RequiresLegacyBluetoothPermission', 'android.annotation.RequiresPermission']"", 'method_body_modify': '-', 'param_modify': 'autoConnect callback handler-autoConnect callback handler eattSupport'}","[{'type': 'Extract Method', 'source_name': 'android.bluetooth.BluetoothGatt.connect', 'source_param': 'autoConnect callback handler'}]"
72375,Method,android.bluetooth.le.AdvertiseData.AdvertiseData,core/java/android/bluetooth/le/AdvertiseData.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'serviceUuids serviceSolicitationUuids manufacturerData serviceData includeTxPowerLevel includeDeviceName-serviceUuids serviceSolicitationUuids manufacturerData serviceData includeTxPowerLevel includeDeviceName transportDiscoveryData'}",[]
73265,Method,android.bluetooth.le.ScanFilter.ScanFilter,core/java/android/bluetooth/le/ScanFilter.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'name deviceAddress uuid uuidMask solicitationUuid solicitationUuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask addressType irk-name deviceAddress uuid uuidMask solicitationUuid solicitationUuidMask serviceDataUuid serviceData serviceDataMask manufacturerId manufacturerData manufacturerDataMask addressType irk orgId TDSFlags TDSFlagsMask wifiNANHash groupBasedFiltering'}",[]
73494,Method,android.bluetooth.le.ScanRecord.ScanRecord,core/java/android/bluetooth/le/ScanRecord.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'serviceUuids serviceSolicitationUuids manufacturerData serviceData advertiseFlags txPowerLevel localName bytes-serviceUuids serviceSolicitationUuids manufacturerData serviceData advertiseFlags txPowerLevel localName tdsData groupIdentifierData bytes'}",[]
82632,Method,android.content.pm.ActivityInfo.hasFixedAspectRatio,core/java/android/content/pm/ActivityInfo.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': '-orientation'}","[{'type': 'Add Parameter', 'source_name': 'android.content.pm.ActivityInfo.hasFixedAspectRatio', 'source_param': ''}]"
82645,Method,android.content.pm.ActivityInfo.neverSandboxDisplayApis,core/java/android/content/pm/ActivityInfo.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': '-constrainDisplayApisConfig'}","[{'type': 'Add Parameter', 'source_name': 'android.content.pm.ActivityInfo.neverSandboxDisplayApis', 'source_param': ''}]"
82647,Method,android.content.pm.ActivityInfo.alwaysSandboxDisplayApis,core/java/android/content/pm/ActivityInfo.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': '-constrainDisplayApisConfig'}","[{'type': 'Add Parameter', 'source_name': 'android.content.pm.ActivityInfo.alwaysSandboxDisplayApis', 'source_param': ''}]"
82654,Method,android.content.pm.ActivityInfo.getMinAspectRatio,core/java/android/content/pm/ActivityInfo.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': '-orientation'}","[{'type': 'Add Parameter', 'source_name': 'android.content.pm.ActivityInfo.getMinAspectRatio', 'source_param': ''}]"
