id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
19003,Variable,android.app.AppOpsManager.MODE_NAMES,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19096,Variable,android.app.AppOpsManager._NUM_OP,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19180,Variable,android.app.AppOpsManager.RUNTIME_AND_APPOP_PERMISSIONS_OPS,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19181,Variable,android.app.AppOpsManager.sOpToSwitch,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19182,Variable,android.app.AppOpsManager.sOpToString,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19183,Variable,android.app.AppOpsManager.sOpNames,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19184,Variable,android.app.AppOpsManager.sOpPerms,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19185,Variable,android.app.AppOpsManager.sOpRestrictions,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19186,Variable,android.app.AppOpsManager.sOpAllowSystemRestrictionBypass,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19187,Variable,android.app.AppOpsManager.sOpDefaultMode,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19190,Variable,android.app.AppOpsManager.sOpDisableReset,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
19197,Variable,android.app.AppOpsManager.i,core/java/android/app/AppOpsManager.java,0,-1,1,{'class_var_modify': '-'},[]
89432,Variable,android.nfc.cardemulation.AidGroup.aids,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89433,Variable,android.nfc.cardemulation.AidGroup.category,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89434,Variable,android.nfc.cardemulation.AidGroup.description,core/java/android/nfc/cardemulation/AidGroup.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89479,Variable,android.nfc.cardemulation.ApduServiceInfo.mService,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89480,Variable,android.nfc.cardemulation.ApduServiceInfo.mDescription,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89481,Variable,android.nfc.cardemulation.ApduServiceInfo.mOnHost,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89482,Variable,android.nfc.cardemulation.ApduServiceInfo.mStaticAidGroups,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89483,Variable,android.nfc.cardemulation.ApduServiceInfo.mDynamicAidGroups,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89484,Variable,android.nfc.cardemulation.ApduServiceInfo.mRequiresDeviceUnlock,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89485,Variable,android.nfc.cardemulation.ApduServiceInfo.mBannerResourceId,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89486,Variable,android.nfc.cardemulation.ApduServiceInfo.mUid,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
89487,Variable,android.nfc.cardemulation.ApduServiceInfo.mSettingsActivityName,core/java/android/nfc/cardemulation/ApduServiceInfo.java,0,-1,1,"{'access_modify': 'null-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
113291,Variable,android.provider.Settings.Secure.SETTINGS_TO_BACKUP,core/java/android/provider/Settings.java,0,-1,1,{'class_var_modify': '-'},[]
138705,Variable,android.util.NtpTrustedTime.mServer,core/java/android/util/NtpTrustedTime.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
173363,Variable,android.widget.AnalogClock.mIntentReceiver,core/java/android/widget/AnalogClock.java,0,-1,1,{'class_var_modify': '-'},[]
175733,Variable,android.widget.DateTimeView.mTimeMillis,core/java/android/widget/DateTimeView.java,0,-1,1,"{'access_modify': 'null-private', 'class_var_modify': '-'}",[]
221874,Variable,com.android.internal.view.RotationPolicy.NATURAL_ROTATION,core/java/com/android/internal/view/RotationPolicy.java,0,-1,1,{'class_var_modify': '-'},[]
226949,Variable,com.android.internal.widget.LockPatternView.mCellStates,core/java/com/android/internal/widget/LockPatternView.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
226963,Variable,com.android.internal.widget.LockPatternView.mPattern,core/java/com/android/internal/widget/LockPatternView.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
226964,Variable,com.android.internal.widget.LockPatternView.mPatternDrawLookup,core/java/com/android/internal/widget/LockPatternView.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
226968,Variable,com.android.internal.widget.LockPatternView.mLineFadeStart,core/java/com/android/internal/widget/LockPatternView.java,0,-1,1,{'class_var_modify': '-'},[]
226998,Variable,com.android.internal.widget.LockPatternView.Cell.sCells,core/java/com/android/internal/widget/LockPatternView.java,0,-1,1,"{'access_modify': 'private-null', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
510645,Variable,com.android.settingslib.display.DisplayDensityUtils.MIN_SCALE,packages/SettingsLib/src/com/android/settingslib/display/DisplayDensityUtils.java,0,-1,1,{'class_var_modify': '-'},[]
510649,Variable,com.android.settingslib.display.DisplayDensityUtils.SUMMARIES_SMALLER,packages/SettingsLib/src/com/android/settingslib/display/DisplayDensityUtils.java,0,-1,1,{'class_var_modify': '-'},[]
511589,Variable,com.android.settingslib.graph.BatteryMeterDrawableBase.mIntrinsicWidth,packages/SettingsLib/src/com/android/settingslib/graph/BatteryMeterDrawableBase.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
511590,Variable,com.android.settingslib.graph.BatteryMeterDrawableBase.mIntrinsicHeight,packages/SettingsLib/src/com/android/settingslib/graph/BatteryMeterDrawableBase.java,0,-1,1,"{'final_modify': 'final-', 'class_var_modify': '-'}",[]
530782,Variable,com.android.systemui.globalactions.GlobalActionsDialog.SHOW_SILENT_TOGGLE,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,0,-1,1,{'class_var_modify': '-'},[]
531035,Variable,com.android.systemui.globalactions.GlobalActionsDialog.SinglePressAction.mMessageResId,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,0,-1,1,"{'access_modify': 'private-protected', 'final_modify': 'final-', 'class_var_modify': '-'}",[]
531145,Variable,com.android.systemui.globalactions.GlobalActionsDialog.mBroadcastReceiver,packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,0,-1,1,{'class_var_modify': '-'},[]
