id,category,qualifiedName,file_path,not_aosp,old_aosp,isIntrusive,intrusiveModify,refactor
19263,Method,android.app.AppOpsManager.OpEntry.OpEntry,core/java/android/app/AppOpsManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'op mode time rejectTime duration proxyUid proxyPackage-op mode time rejectTime duration proxyUid proxyPackage allowedCount ignoredCount'}","[{'type': 'Add Parameter', 'source_name': 'android.app.AppOpsManager.OpEntry.OpEntry', 'source_param': 'op mode time rejectTime duration proxyUid proxyPackage'}, {'type': 'Add Parameter', 'source_name': 'android.app.AppOpsManager.OpEntry.OpEntry', 'source_param': 'op mode time rejectTime duration proxyUid proxyPackage'}]"
19273,Method,android.app.AppOpsManager.OpEntry.OpEntry,core/java/android/app/AppOpsManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'op mode times rejectTimes duration running proxyUid proxyPackage-op mode times rejectTimes duration running proxyUid proxyPackage allowedCount ignoredCount'}","[{'type': 'Add Parameter', 'source_name': 'android.app.AppOpsManager.OpEntry.OpEntry', 'source_param': 'op mode times rejectTimes duration running proxyUid proxyPackage'}, {'type': 'Add Parameter', 'source_name': 'android.app.AppOpsManager.OpEntry.OpEntry', 'source_param': 'op mode times rejectTimes duration running proxyUid proxyPackage'}]"
19284,Method,android.app.AppOpsManager.OpEntry.OpEntry,core/java/android/app/AppOpsManager.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'op mode times rejectTimes duration proxyUid proxyPackage-op mode times rejectTimes duration proxyUid proxyPackage allowedCount ignoredCount'}","[{'type': 'Add Parameter', 'source_name': 'android.app.AppOpsManager.OpEntry.OpEntry', 'source_param': 'op mode times rejectTimes duration proxyUid proxyPackage'}, {'type': 'Add Parameter', 'source_name': 'android.app.AppOpsManager.OpEntry.OpEntry', 'source_param': 'op mode times rejectTimes duration proxyUid proxyPackage'}]"
138713,Method,android.util.NtpTrustedTime.NtpTrustedTime,core/java/android/util/NtpTrustedTime.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'server timeout-server timeout hasSecureServer'}","[{'type': 'Add Parameter', 'source_name': 'android.util.NtpTrustedTime.NtpTrustedTime', 'source_param': 'server timeout'}]"
167030,Method,android.view.WindowManagerPolicyControl.getSystemUiVisibility,core/java/android/view/WindowManagerPolicyControl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'win attrs-vis attrs'}",[{'type': 'parent_ref'}]
167033,Method,android.view.WindowManagerPolicyControl.getWindowFlags,core/java/android/view/WindowManagerPolicyControl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'win attrs-flags attrs'}",[{'type': 'parent_ref'}]
167039,Method,android.view.WindowManagerPolicyControl.adjustClearableFlags,core/java/android/view/WindowManagerPolicyControl.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'win clearableFlags-attrs clearableFlags'}",[{'type': 'parent_ref'}]
173369,Method,android.widget.AnalogClock.updateContentDescription,core/java/android/widget/AnalogClock.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'time-timeMillis'}","[{'type': 'Rename Parameter', 'source_name': 'android.widget.AnalogClock.updateContentDescription', 'source_param': 'time'}]"
175755,Method,android.widget.DateTimeView.setTime,core/java/android/widget/DateTimeView.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'time-timeMillis'}","[{'type': 'Rename Parameter', 'source_name': 'android.widget.DateTimeView.setTime', 'source_param': 'time'}]"
175788,Method,android.widget.DateTimeView.computeNextMidnight,core/java/android/widget/DateTimeView.java,0,-1,1,"{'method_body_modify': '-', 'param_modify': 'timeZone-time zoneId'}",[]
