file,e2n_e,e2n_n,n2e_n,n2e_e
core/java/android/hardware/display/AmbientDisplayConfiguration.java,6,5,2,2
core/java/android/provider/Settings.java,,44,,
core/java/android/os/UpdateEngine.java,1,,,
errorprone/tests/res/android/os/RemoteException.java,,1,,
keystore/java/android/security/KeyStore.java,1,,,
core/java/android/app/ActivityThread.java,,5,,
packages/SettingsLib/src/com/android/settingslib/graph/BluetoothDeviceLayerDrawable.java,7,1,,
packages/SettingsLib/src/com/android/settingslib/graph/BatteryMeterDrawableBase.java,,1,,
graphics/java/android/graphics/drawable/LayerDrawable.java,,3,,
graphics/java/android/graphics/drawable/Drawable.java,,7,,
packages/SystemUI/src/com/android/systemui/BatteryMeterView.java,8,,3,3
core/java/android/view/View.java,,33,,
core/java/android/widget/ImageView.java,,1,,
core/java/android/content/res/Resources.java,,13,,
core/java/android/view/ViewGroup.java,,1,,
packages/SystemUI/src/com/android/systemui/omni/OmniSettingsServiceImpl.java,14,1,,
packages/SystemUI/src/com/android/systemui/dagger/SysUISingleton.java,1,1,,
packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,16,8,6,6
packages/SystemUI/src/com/android/systemui/statusbar/policy/KeyguardStateController.java,,1,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/GlobalActions.java,,4,,
core/java/android/content/DialogInterface.java,,1,,
packages/SystemUI/src/com/android/systemui/MultiListLayout.java,,1,,
packages/SystemUI/src/com/android/systemui/keyguard/KeyguardSliceProvider.java,9,3,5,5
errorprone/tests/res/android/database/ContentObserver.java,,6,,
core/java/android/content/ContentResolver.java,,19,,
packages/SystemUI/src/com/android/systemui/navigationbar/buttons/KeyButtonView.java,11,2,,
core/java/com/android/internal/logging/MetricsLogger.java,,1,,
core/java/android/metrics/LogMaker.java,,1,,
core/java/android/util/Log.java,,15,,
core/java/android/view/KeyEvent.java,,2,,
packages/SystemUI/src/com/android/systemui/recents/OverviewProxyService.java,,1,,
core/java/android/view/Display.java,,1,,
core/java/android/hardware/input/InputManager.java,,1,,
packages/SystemUI/src/com/android/systemui/navigationbar/buttons/RotationContextButton.java,2,,,
packages/SystemUI/src/com/android/systemui/navigationbar/buttons/ContextualButton.java,,2,,
packages/SystemUI/src/com/android/systemui/navigationbar/gestural/EdgeBackGestureHandler.java,1,,1,1
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarInflaterView.java,7,1,5,2
packages/SystemUI/src/com/android/systemui/Dependency.java,,3,1,
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,5,1,31,32
packages/SystemUI/src/com/android/systemui/omni/CPUInfoManager.java,6,,,
packages/SystemUI/src/com/android/systemui/omni/CPUInfoService.java,66,,,
core/java/android/app/Service.java,,4,,
packages/SystemUI/src/com/android/systemui/SystemUI.java,,3,,
graphics/java/android/graphics/Color.java,,1,,
graphics/java/android/graphics/Typeface.java,,1,,
graphics/java/android/graphics/Paint.java,,12,,
graphics/java/android/graphics/Canvas.java,,7,,
core/java/android/content/ContextWrapper.java,,8,,
core/java/android/view/WindowManager.java,,3,,
core/java/android/os/ServiceManager.java,,1,,
core/java/android/content/IntentFilter.java,,2,,
core/java/android/view/ViewManager.java,,2,,
core/java/android/os/Looper.java,,1,,
core/java/android/app/ActivityManager.java,,1,,
packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizerController.java,3,,8,1
packages/SystemUI/src/com/android/systemui/qs/customize/TileAdapter.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/customize/QSCustomizer.java,,1,,
packages/SystemUI/src/com/android/systemui/qs/PagedTileLayout.java,1,1,,
packages/SystemUI/src/com/android/systemui/qs/QSPanelControllerBase.java,2,,11,
packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,,2,2,2
packages/SystemUI/src/com/android/systemui/qs/QuickQSPanel.java,3,1,1,1
packages/SystemUI/src/com/android/systemui/qs/TileLayout.java,4,1,1,1
packages/SystemUI/src/com/android/systemui/qs/tiles/AODTile.java,15,,,
packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSTileImpl.java,,29,,
packages/SystemUI/src/com/android/systemui/qs/tiles/CaffeineTile.java,35,,,
core/java/android/os/PowerManager.java,,19,,
core/java/android/os/SystemClock.java,,2,,
core/java/android/os/CountDownTimer.java,,2,,
errorprone/tests/res/android/content/BroadcastReceiver.java,,1,,
packages/SystemUI/src/com/android/systemui/qs/tiles/ScreenshotTile.java,14,,,
packages/SystemUI/src/com/android/systemui/qs/QSHost.java,,2,,
core/java/com/android/internal/util/ScreenshotHelper.java,,2,,
packages/SystemUI/src/com/android/systemui/settings/brightness/BrightnessSliderView.java,4,1,,1
core/java/android/widget/AbsSeekBar.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/notification/row/FooterView.java,8,,1,2
core/java/android/widget/TextView.java,,2,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,12,1,6,3
core/java/android/bluetooth/BluetoothClass.java,,1,,
graphics/java/android/graphics/Bitmap.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java,17,,2,2
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,,3,,
core/java/android/net/Uri.java,,1,,
