file,e2n_e,e2n_n,n2e_n,n2e_e
core/java/android/bluetooth/le/ScanFilter.java,7,3,4,3
core/java/android/annotation/Nullable.java,5,5,,
core/java/android/service/carrier/CarrierIdentifier.java,1,1,,
services/core/java/com/android/server/accounts/AccountsDb.java,5,4,,3
services/core/java/com/android/server/pm/PackageManagerService.java,7,2,10,4
core/java/android/bluetooth/BluetoothAdapter.java,1,21,14,
core/java/android/util/Log.java,,215,,
core/java/android/bluetooth/BluetoothBAEncryptionKey.java,5,,,
core/java/android/os/Parcelable.java,,5,,
core/java/android/os/Parcel.java,,90,,
core/java/android/bluetooth/BluetoothBAStreamServiceRecord.java,9,,,
core/java/android/bluetooth/BluetoothBATransmitter.java,58,,,2
core/java/android/bluetooth/BluetoothProfile.java,,7,,
core/java/android/content/Context.java,,36,,
core/java/android/os/Process.java,,6,,1
core/java/android/content/Intent.java,,13,,
core/java/android/os/Binder.java,,4,,
core/java/android/os/Handler.java,,16,,
core/java/android/bluetooth/BluetoothDevice.java,4,1,,4
core/java/android/bluetooth/BluetoothDun.java,42,,,2
core/java/android/bluetooth/BluetoothHeadset.java,1,4,,
core/java/android/bluetooth/BluetoothSocket.java,12,,,
core/java/android/bluetooth/le/BluetoothLeScanner.java,2,,1,1
core/java/android/bluetooth/le/ScanSettings.java,,2,,
core/java/android/os/ParcelUuid.java,,3,,
core/java/com/android/internal/util/BitUtils.java,,1,,
core/java/android/bluetooth/le/ScanRecord.java,2,1,3,4
core/java/android/bluetooth/BluetoothUuid.java,,1,,
core/java/android/hardware/Camera.java,113,111,9,4
core/java/android/text/TextUtils.java,,11,,
core/java/android/hardware/camera2/impl/CameraConstrainedHighSpeedCaptureSessionImpl.java,7,,1,1
core/java/android/hardware/camera2/utils/SurfaceUtils.java,3,2,1,1
core/java/android/hardware/camera2/CameraCharacteristics.java,,1,,
core/java/android/util/Size.java,,1,,
core/java/android/hardware/camera2/params/HighSpeedVideoConfiguration.java,,3,,
core/java/android/hardware/camera2/impl/CameraDeviceImpl.java,3,,2,3
core/java/android/app/ActivityThread.java,,3,2,
core/java/android/os/SystemProperties.java,,4,,
core/java/android/util/apk/ApkSignatureVerifier.java,5,2,2,
core/java/android/util/Slog.java,,74,,
core/java/com/android/internal/util/ArrayUtils.java,,1,,
core/java/android/content/pm/Signature.java,,1,,
core/java/android/util/BoostFramework.java,19,,,37
core/java/android/util/NtpTrustedTime.java,6,1,4,5
core/java/android/net/ConnectivityManager.java,,2,,
core/java/android/util/SeempLog.java,4,,,137
core/java/android/hardware/Sensor.java,,2,,
core/java/android/view/WindowManager.java,,1,,
core/java/android/net/Uri.java,,1,,
core/java/android/view/InputEventReceiver.java,2,,,
core/java/android/view/Choreographer.java,,1,,
core/java/android/widget/ListView.java,33,7,,
core/java/android/view/ViewGroup.java,,10,,
core/java/android/widget/AbsListView.java,,6,1,1
core/java/android/view/View.java,,17,4,
core/java/android/net/NetworkStats.java,1,1,5,5
core/java/com/android/internal/annotations/VisibleForTesting.java,11,11,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/FiveGServiceClient.java,57,10,,8
core/java/com/android/internal/app/ActivityTrigger.java,10,,,4
core/java/android/content/ComponentName.java,,5,,
core/java/com/android/internal/os/RegionalizationEnvironment.java,12,,,5
core/java/android/os/ServiceManager.java,,4,,
core/java/com/android/internal/widget/LockPatternUtils.java,2,3,,2
obex/javax/obex/ServerSession.java,2,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,2,,3,1
packages/SettingsLib/src/com/android/settingslib/bluetooth/DunServerProfile.java,11,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfile.java,,1,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/Utils.java,,1,,
packages/SettingsLib/src/com/android/settingslib/wifi/AccessPoint.java,6,,1,1
packages/SettingsLib/src/com/android/settingslib/wifi/WifiTracker.java,2,1,1,1
packages/SystemUI/src/com/android/keyguard/CarrierText.java,21,,5,3
telephony/java/android/telephony/SubscriptionInfo.java,,12,,
core/java/android/content/res/Resources.java,,55,,
telephony/java/android/telephony/TelephonyManager.java,,8,6,
packages/SystemUI/src/com/android/keyguard/EmergencyButton.java,1,1,1,
packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitor.java,20,,2,2
packages/SystemUI/src/com/android/keyguard/KeyguardUpdateMonitorCallback.java,,2,,1
telephony/java/android/telephony/SubscriptionManager.java,,6,,
telephony/java/android/telephony/ServiceState.java,,7,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconList.java,4,,,
packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarIconHolder.java,,2,,
core/java/com/google/android/collect/Lists.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java,2,2,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java,31,1,17,16
packages/SettingsLib/src/com/android/settingslib/graph/SignalDrawable.java,,1,,
telephony/java/android/telephony/SignalStrength.java,,2,,
telephony/java/android/telephony/ims/feature/ImsFeature.java,,2,,
telephony/java/android/telephony/PhoneStateListener.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/TelephonyIcons.java,51,,,
core/java/android/content/res/TypedArray.java,,6,,
packages/SystemUI/src/com/android/systemui/statusbar/SignalClusterView.java,8,,,
packages/SystemUI/src/com/android/systemui/statusbar/StatusBarMobileView.java,2,,2,2
