file,e2n_e,e2n_n,n2e_n,n2e_e
core/java/android/bluetooth/le/ScanFilter.java,1,1,5,3
core/java/android/annotation/NonNull.java,5,5,,
services/core/java/com/android/server/audio/BtHelper.java,22,2,4,3
wifi/java/android/net/wifi/SoftApConfiguration.java,2,2,,
wifi/java/android/net/wifi/WifiEnterpriseConfig.java,3,3,,
wifi/java/android/net/wifi/WifiManager.java,58,10,,1
services/core/java/com/android/server/pm/PackageManagerService.java,179,20,5,4
core/java/android/annotation/Nullable.java,5,5,,
telephony/java/android/service/carrier/CarrierIdentifier.java,1,1,,
core/java/android/bluetooth/BluetoothAdapter.java,27,40,20,4
core/java/android/annotation/RequiresPermission.java,5,5,,
core/java/android/bluetooth/BluetoothDevice.java,13,8,,6
core/java/android/util/Log.java,,339,,
core/java/android/content/Context.java,,39,,
core/java/android/bluetooth/BluetoothProfile.java,,10,,
core/java/android/bluetooth/BluetoothGatt.java,7,2,,
core/java/android/bluetooth/BluetoothDeviceGroup.java,67,,,2
core/java/android/os/Binder.java,,3,,
core/java/android/os/ParcelUuid.java,,3,,
core/java/android/os/Handler.java,,25,,
core/java/android/bluetooth/BluetoothDun.java,42,,,2
core/java/android/content/Intent.java,,18,,
core/java/android/os/Process.java,,3,,1
core/java/android/bluetooth/BluetoothGattServer.java,6,1,,
core/java/android/bluetooth/BluetoothHeadset.java,1,4,,
core/java/android/bluetooth/BluetoothManager.java,4,,,
core/java/android/bluetooth/BluetoothQualityReport.java,133,,,
core/java/android/os/Parcelable.java,,10,,
core/java/android/os/Parcel.java,,198,,
core/java/android/bluetooth/BluetoothSocket.java,12,,,
core/java/android/bluetooth/BluetoothVcp.java,25,,,2
core/java/android/bluetooth/DeviceGroup.java,13,,,
core/java/android/bluetooth/le/BluetoothLeScanner.java,2,,1,1
core/java/android/bluetooth/le/ScanSettings.java,,2,,
core/java/android/bluetooth/le/PeriodicAdvertisingManager.java,7,1,,
core/java/android/os/Looper.java,,2,,
core/java/android/hardware/Camera.java,113,111,9,4
core/java/android/text/TextUtils.java,,11,,
