file,e2n_e,e2n_n,n2e_n,n2e_e
apex/appsearch/service/java/com/android/server/appsearch/AppSearchManagerService.java,2,1,17,17
apex/appsearch/service/java/com/android/server/appsearch/util/PackageUtil.java,,1,,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchLoggerHelper.java,1,1,,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/stats/SetSchemaStats.java,,14,,
apex/appsearch/testing/java/com/android/server/appsearch/testing/external/AppSearchTestUtils.java,1,,,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchLogger.java,,1,,
core/java/android/accessibilityservice/AccessibilityService.java,10,2,,
core/java/android/content/ContextWrapper.java,,16,,
core/java/android/view/accessibility/AccessibilityInteractionClient.java,1,2,24,24
core/java/android/util/Log.java,,538,,
errorprone/tests/res/android/os/RemoteException.java,,34,,
core/java/android/view/WindowManagerImpl.java,1,3,3,1
core/java/android/app/Activity.java,2,71,1,1
core/java/android/app/ActivityClient.java,2,4,,
core/java/android/app/ActivityManager.java,9,15,,
core/java/android/app/ActivityTaskManager.java,3,12,,
core/java/android/app/ActivityThread.java,10,18,9,3
core/java/android/app/ContextImpl.java,,1,4,
core/java/android/window/SplashScreen.java,,1,,
core/java/android/view/SurfaceControl.java,,363,,
core/java/android/view/ViewRootImpl.java,8,5,13,7
core/java/android/view/View.java,7,337,14,11
core/java/android/window/SplashScreenView.java,9,3,3,4
core/java/android/app/admin/DevicePolicyManager.java,9,7,,
core/java/android/app/Application.java,1,3,,
core/java/android/app/compat/PackageOverride.java,1,56,,
core/java/android/app/DisabledWallpaperManager.java,1,,4,4
core/java/android/app/LoadedApk.java,9,5,,2
core/java/android/content/pm/ApplicationInfo.java,,3,,3
core/java/android/app/RemoteServiceException.java,8,5,,1
core/java/android/os/BaseBundle.java,,37,,
core/java/android/content/ComponentName.java,,30,,
core/java/android/app/servertransaction/ActivityResultItem.java,1,1,,
core/java/android/app/compat/CompatChanges.java,,4,,
core/java/android/app/Service.java,1,3,2,3
core/java/android/window/TaskFragmentCreationParams.java,6,1,,
core/java/android/app/WindowConfiguration.java,2,83,,
core/java/android/window/TaskFragmentInfo.java,8,1,,
core/java/android/bluetooth/BluetoothDevice.java,22,18,,6
core/java/android/bluetooth/annotations/RequiresBluetoothConnectPermission.java,26,26,,
core/java/android/bluetooth/BluetoothDeviceGroup.java,92,26,,2
core/java/android/bluetooth/BluetoothHeadset.java,14,9,,
core/java/android/bluetooth/BluetoothSocket.java,16,4,,
core/java/android/bluetooth/BluetoothVcp.java,47,16,,2
core/java/android/bluetooth/annotations/RequiresBluetoothScanPermission.java,1,1,,
core/java/android/bluetooth/annotations/RequiresLegacyBluetoothPermission.java,3,3,,
