file,e2n_e,e2n_n,n2e_n,n2e_e
apex/jobscheduler/framework/java/android/app/AlarmManager.java,2,4,,7
core/java/com/android/internal/os/BatteryStatsHistory.java,12,3,,3
core/java/android/os/SystemClock.java,,8,,
core/java/android/util/AtomicFile.java,,2,,
core/java/android/util/Slog.java,,12,,
core/java/com/android/internal/os/BatteryStatsImpl.java,3,7,,
core/java/com/android/server/backup/NetworkPolicyBackupHelper.java,9,,,
core/java/android/app/backup/BlobBackupHelper.java,,3,,
core/java/android/util/Log.java,,6,,
core/java/android/os/ServiceManager.java,,3,,
core/tests/coretests/src/com/android/internal/os/BatteryUsageStatsRule.java,2,,,
core/tests/coretests/src/com/android/internal/os/MockBatteryStatsImpl.java,4,1,,
core/java/android/os/Looper.java,,1,,
errorprone/tests/res/android/annotation/RequiresPermission.java,1,1,,
packages/SettingsProvider/src/android/provider/settings/validators/UidListValidator.java,4,,,
packages/SettingsProvider/src/android/provider/settings/validators/ListValidator.java,,3,,
packages/SettingsProvider/src/android/provider/settings/validators/Validator.java,,1,,
packages/SettingsProvider/src/com/android/providers/settings/SettingsService.java,1,,31,31
core/java/android/provider/Settings.java,,2,,
packages/SystemUI/src/com/android/keyguard/NumPadKey.java,7,,1,2
core/java/android/view/View.java,,12,,
core/java/android/widget/TextView.java,,2,,
core/java/android/content/res/Resources.java,,3,,
packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java,1,1,,
packages/SystemUI/src/com/android/systemui/dagger/SysUISingleton.java,1,1,,
packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialogLite.java,6,3,1,1
core/java/android/content/pm/PackageManager.java,,4,,
packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,3,,5,3
errorprone/tests/res/android/app/PendingIntent.java,,1,,
packages/SystemUI/src/com/android/systemui/navigationbar/buttons/KeyButtonView.java,11,1,,
core/java/com/android/internal/logging/MetricsLogger.java,,4,,
core/java/android/metrics/LogMaker.java,,2,,
core/java/android/view/KeyEvent.java,,2,,
packages/SystemUI/src/com/android/systemui/recents/OverviewProxyService.java,,1,,
core/java/android/view/Display.java,,1,,
core/java/android/hardware/input/InputManager.java,,1,,
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarInflaterView.java,19,2,3,3
packages/SystemUI/src/com/android/systemui/tuner/TunerService.java,,7,,
packages/SystemUI/src/com/android/systemui/Dependency.java,,4,,
core/java/android/app/ActivityManager.java,,1,,
core/java/android/content/res/Configuration.java,,1,,
core/java/android/view/LayoutInflater.java,,1,,
packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarView.java,4,1,6,6
packages/SystemUI/src/com/android/systemui/navigationbar/buttons/ContextualButton.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSTileImpl.java,6,79,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/statusbar/StatusBarStateController.java,,1,,
core/java/com/android/internal/logging/UiEventLogger.java,,1,,
core/java/android/app/KeyguardManager.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/tiles/AmbientDisplayTile.java,21,,,
packages/SystemUI/src/com/android/systemui/qs/SecureSetting.java,,12,,
core/java/android/os/SystemProperties.java,,1,,
core/java/android/text/TextUtils.java,,3,,
packages/SystemUI/src/com/android/systemui/qs/tiles/AODTile.java,21,,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BatteryController.java,,7,,
packages/SystemUI/src/com/android/systemui/qs/tiles/CaffeineTile.java,35,,,
core/java/android/os/PowerManager.java,,19,,
errorprone/tests/res/android/content/BroadcastReceiver.java,,1,,
core/java/android/content/IntentFilter.java,,2,,
core/java/android/os/CountDownTimer.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/tiles/HeadsUpTile.java,11,,,
packages/SystemUI/src/com/android/systemui/qs/GlobalSetting.java,,1,,
packages/SystemUI/src/com/android/systemui/qs/tiles/PowerShareTile.java,24,,,
core/java/android/app/NotificationManager.java,,4,,
core/java/android/app/Notification.java,,4,,
core/java/android/os/BatteryManager.java,,2,,
packages/SystemUI/src/com/android/systemui/qs/tiles/ReadingModeTile.java,10,,,
packages/SystemUI/src/com/android/systemui/qs/tiles/SyncTile.java,13,,,
core/java/android/content/ContentResolver.java,,4,,
packages/SystemUI/src/com/android/systemui/qs/tiles/UsbTetherTile.java,9,,,
packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java,5,,2,2
media/java/android/media/AudioManager.java,,1,,
core/java/android/os/Vibrator.java,,2,,
core/java/android/os/VibrationEffect.java,,1,,
media/java/android/media/MediaActionSound.java,,1,,
packages/SystemUI/src/com/android/systemui/statusbar/LineageStatusBarItemHolder.java,10,,,
core/java/android/widget/RelativeLayout.java,,1,,
packages/SystemUI/plugin/src/com/android/systemui/plugins/DarkIconDispatcher.java,,4,,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BluetoothControllerImpl.java,1,,1,1
packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,,1,,
packages/SystemUI/src/com/android/systemui/tuner/StatusBarTuner.java,3,,,
core/java/android/view/MenuItem.java,,1,,
services/core/java/com/android/server/BluetoothManagerService.java,6,2,1,1
services/core/java/com/android/server/connectivity/Vpn.java,1,,10,10
services/core/java/com/android/server/net/NetworkPolicyManagerService.java,18,7,6,6
core/java/android/util/SparseIntArray.java,,1,,
errorprone/tests/res/android/os/Binder.java,,1,,
core/java/com/android/internal/util/XmlUtils.java,,3,,
services/core/java/com/android/server/NetworkManagementService.java,1,1,1,1
services/core/java/com/android/server/pm/PackageManagerService.java,2,,1,1
services/core/java/com/android/server/statusbar/StatusBarManagerService.java,1,1,,
services/devicepolicy/java/com/android/server/devicepolicy/DevicePolicyManagerService.java,2,2,4,1
core/java/android/os/BatteryUsageStats.java,,,2,
core/java/android/provider/CalendarContract.java,,,1,
core/java/com/android/internal/os/BatteryUsageStatsProvider.java,,,1,
packages/SystemUI/src/com/android/keyguard/KeyguardPinBasedInputView.java,,,1,1
packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java,,,1,
packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,,,1,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BluetoothController.java,,,,1
packages/SystemUI/src/com/android/systemui/tuner/TunerServiceImpl.java,,,52,52
services/core/java/com/android/server/inputmethod/InputMethodManagerService.java,,,3,3
services/core/java/com/android/server/notification/NotificationHistoryDatabase.java,,,1,
services/core/java/com/android/server/notification/NotificationManagerService.java,,,1,
services/core/java/com/android/server/notification/SnoozeHelper.java,,,1,
core/java/android/app/admin/ManagedProfileProvisioningParams.java,,,,3
services/people/java/com/android/server/people/data/ConversationStatusExpirationBroadcastReceiver.java,,,1,
services/usb/java/com/android/server/usb/UsbDeviceManager.java,,,4,4
