file,e2n_e,e2n_n,n2e_n,n2e_e
core/java/android/adb/ADBRootService.java,5,,,
core/java/android/os/ServiceManager.java,,5,,
core/java/android/util/Slog.java,,41,,
errorprone/tests/res/android/os/RemoteException.java,,8,,
core/java/android/app/admin/DevicePolicyManager.java,2,,,
errorprone/tests/res/android/os/UserHandle.java,,2,,
core/java/android/util/Log.java,,211,,
core/java/android/app/DownloadManager.java,6,,,
core/java/android/content/ContentValues.java,,2,,
core/java/android/content/ContentResolver.java,,13,,
core/java/android/content/ContentUris.java,,2,,
core/java/android/app/NotificationGroup.java,12,,,
errorprone/tests/res/android/os/Parcelable.java,,11,,
errorprone/tests/res/android/os/Parcel.java,,11,,
core/java/android/os/ParcelUuid.java,,5,,
core/java/android/content/res/Resources.java,,18,,
core/java/android/text/TextUtils.java,,6,,
core/java/android/bluetooth/BluetoothDevice.java,18,15,,4
core/java/android/bluetooth/annotations/RequiresBluetoothConnectPermission.java,22,22,,
core/java/android/bluetooth/BluetoothDeviceGroup.java,92,26,,2
core/java/android/bluetooth/BluetoothVcp.java,47,16,,2
core/java/android/bluetooth/annotations/RequiresBluetoothScanPermission.java,1,1,,
core/java/android/bluetooth/annotations/RequiresLegacyBluetoothPermission.java,3,3,,
core/java/android/bluetooth/BluetoothAdapter.java,27,27,8,4
errorprone/tests/res/android/content/Context.java,,11,,
core/java/android/bluetooth/BluetoothProfile.java,,6,,
core/java/android/bluetooth/BluetoothQualityReport.java,13,,,
core/java/android/bluetooth/DeviceGroup.java,5,,,
core/java/android/bluetooth/le/BluetoothLeScanner.java,2,,1,1
core/java/android/bluetooth/le/ScanSettings.java,,2,,
core/java/android/bluetooth/le/PeriodicAdvertisingManager.java,6,1,,
core/java/android/os/Looper.java,,3,,
core/java/android/hardware/Camera.java,3,,2,4
core/java/android/app/ActivityThread.java,,4,,
core/java/android/os/SystemProperties.java,,6,,
core/java/android/hardware/camera2/impl/CameraMetadataNative.java,3,3,,
core/java/android/net/VpnManager.java,1,2,,
core/java/android/os/PowerManager.java,2,25,,1
core/java/android/os/UpdateEngine.java,1,,,
core/java/android/preference/SeekBarVolumizer.java,1,,4,4
core/java/android/provider/Settings.java,,11,,
core/java/com/android/internal/os/BatteryStatsHistory.java,12,3,,3
core/java/android/os/SystemClock.java,,10,,
core/java/android/util/AtomicFile.java,,2,,
core/java/com/android/internal/os/BatteryStatsImpl.java,3,7,,
core/java/com/android/internal/view/RotationPolicy.java,5,,4,7
core/java/android/view/WindowManagerGlobal.java,,3,,
core/java/com/android/internal/widget/LockPatternUtils.java,8,9,1,12
core/java/com/android/server/backup/NetworkPolicyBackupHelper.java,9,,,
core/java/android/app/backup/BlobBackupHelper.java,,3,,
core/java/com/nvidia/NvAppProfiles.java,6,,,
core/java/com/nvidia/NvAppProfileService.java,8,,,
core/java/android/content/pm/PackageManager.java,,6,,
core/java/com/nvidia/NvCPLSvc/NvAppProfile.java,4,,,
core/java/com/nvidia/NvCPLSvc/NvSaverAppInfo.java,2,,,
core/java/com/nvidia/NvWhitelistService.java,7,,,
core/java/android/util/AttributeSet.java,,3,,
core/tests/coretests/src/com/android/internal/os/BatteryUsageStatsRule.java,2,,,
core/tests/coretests/src/com/android/internal/os/MockBatteryStatsImpl.java,4,1,,
errorprone/tests/res/android/annotation/RequiresPermission.java,27,27,,
media/java/android/media/AudioManager.java,2,2,,
obex/javax/obex/ServerSession.java,2,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,24,6,2,2
packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDeviceManager.java,,9,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/CachedBluetoothDevice.java,7,12,6,2
packages/SettingsLib/src/com/android/settingslib/bluetooth/DeviceGroupClientProfile.java,48,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfile.java,,2,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/LocalBluetoothProfileManager.java,1,1,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/VcpProfile.java,11,,,
packages/SettingsProvider/src/com/android/providers/settings/SettingsService.java,1,,31,31
packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,2,1,,
packages/SystemUI/shared/src/com/android/systemui/shared/recents/utilities/Utilities.java,,1,,
packages/SystemUI/src/com/android/keyguard/NumPadKey.java,7,,1,2
core/java/android/view/View.java,,68,,
core/java/android/widget/TextView.java,,11,,
packages/SystemUI/src/com/android/systemui/battery/BatteryMeterView.java,9,3,1,2
core/java/android/widget/ImageView.java,,12,,
packages/SystemUI/src/com/android/systemui/biometrics/AuthBiometricUdfpsView.java,5,,,
packages/SystemUI/src/com/android/systemui/dagger/SystemUIModule.java,2,,,
packages/SystemUI/src/com/android/systemui/biometrics/UdfpsHbmProvider.java,,1,,
