file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
core/java/android/accounts/AccountManager.java,,,,,,,,17,,,,37,,,,,,,,,,,,,,
core/java/android/app/ActivityThread.java,,,,,1,,,1,,,,1,,7,,,,,,,,,,,,
core/java/android/app/Instrumentation.java,,,,,,,,1,,,,7,,,,,,,,,,,,,,
core/java/android/app/ResourcesManager.java,,,,,,,,1,,,2,2,,,1,,,,,,,,,,,
core/java/android/bluetooth/BluetoothAdapter.java,,,,,,,,2,,,1,14,1,4,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothCodecConfig.java,,,,,,,,1,,2,2,1,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothCodecStatus.java,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothDevice.java,,,,,,,,2,,13,1,2,2,1,1,,,,,,,,,,,
core/java/android/bluetooth/BluetoothHeadset.java,,,1,,,,,2,,1,2,5,1,,4,,,,,,,,,,,
core/java/android/bluetooth/BluetoothHearingAid.java,,,,,,,,2,,,1,1,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothProfile.java,,,,,,,,1,,2,1,,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothSocket.java,,,,,,,,1,,,,1,2,,,,,,,,,,,,,
core/java/android/bluetooth/le/AdvertiseData.java,,,,1,,,,3,,2,1,7,2,2,,,,,,,,,,,1,
core/java/android/bluetooth/le/BluetoothLeScanner.java,,,,,,,,1,,,,1,1,1,,,,,,,,,,,,
core/java/android/bluetooth/le/BluetoothLeUtils.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanFilter.java,,,,1,,,,3,,4,1,8,6,2,,,,,,,,,,,1,
core/java/android/bluetooth/le/ScanRecord.java,,,,1,,,,1,,4,,4,2,1,,,,,,,,,,,1,
core/java/android/bluetooth/le/ScanSettings.java,,,,,,,,2,,1,,1,,,,,,,,,,,,,,
core/java/android/content/ContentResolver.java,,,,,,,,1,,,,3,,,,,,,,,,,,,,
core/java/android/content/Intent.java,,,,,,,,1,,1,,1,,,,,,,,,,,,,,
core/java/android/content/pm/ApplicationInfo.java,,,,,2,,,1,,2,,3,3,,,,,,,,,,,,,
core/java/android/content/res/CompatibilityInfo.java,,,,,1,,,1,,1,,1,,2,,,,,,,,,,,,
core/java/android/hardware/Camera.java,,,,,2,,,5,1,126,,11,103,10,,,,,,,,,,,,
core/java/android/hardware/camera2/CameraDevice.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/hardware/camera2/CameraManager.java,,,,,2,,,2,,,,4,,16,,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraCaptureSessionImpl.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraConstrainedHighSpeedCaptureSessionImpl.java,,,,,2,,,1,,,,1,1,,1,,,,,,,,,,,
core/java/android/hardware/camera2/impl/CameraDeviceImpl.java,,,,,6,,,1,,2,,3,3,,,,,,,,,,,,,
core/java/android/hardware/camera2/utils/SurfaceUtils.java,,,,,3,,,1,,,,1,1,,,,,,,,,,,,,
core/java/android/hardware/SystemSensorManager.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
core/java/android/net/ConnectivityManager.java,,,,,,,,1,,1,,,,,,,,,,,,,,,,
core/java/android/net/NetworkAgent.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/net/NetworkStats.java,,,,,,,,1,,,,3,1,,,,,,,,,,,,,
core/java/android/nfc/cardemulation/AidGroup.java,3,4,,,,,,1,,,3,,,,,,,,,,,,,,,
core/java/android/nfc/cardemulation/ApduServiceInfo.java,9,10,,,,,,1,,,9,,,,,,,,,,,,,,,
core/java/android/nfc/tech/MifareClassic.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/nfc/tech/NfcA.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
core/java/android/os/Process.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/os/storage/VolumeInfo.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/provider/Browser.java,,,,,,,,1,,,,6,,,,,,,,,,,,,,
core/java/android/provider/CalendarContract.java,,,,,,,,6,,,,8,,,,,,,,,,,,,,
core/java/android/provider/ContactsContract.java,,,,,,,,4,,,,7,,,,,,,,,,,,,,
core/java/android/provider/Settings.java,,,,,,,,4,,4,1,2,,,,,,,,,,,,,,
core/java/android/service/carrier/CarrierIdentifier.java,,,,,,,,2,,2,,7,2,,,,,,,,,,,,,
core/java/android/service/wallpaper/WallpaperService.java,,,,,,,,2,,,,1,,,,,,,,,,,,,,
core/java/android/speech/SpeechRecognizer.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/util/apk/ApkSignatureVerifier.java,,2,,,3,,,1,1,4,,1,,6,6,,,,,,,,,,,
core/java/android/util/NtpTrustedTime.java,,,,,1,,,1,,5,,4,5,5,,,,,,,,1,,,,
core/java/android/util/TrustedTime.java,,,,,,,,1,,,,1,1,,,,,,,,,,,,,
core/java/android/view/Choreographer.java,,,,,,,,1,,10,,3,1,,2,,,,,,,,,,,
core/java/android/view/InputEventReceiver.java,,,,,,,,1,,1,,,1,,,,,,,,,,,,,
core/java/android/view/SurfaceControl.java,,,,,,,,1,,2,,,,,,,,,,,,,,,,
core/java/android/view/View.java,,,,,,,,1,,,,4,,,,,,,,,,,,,,
core/java/android/view/ViewRootImpl.java,,,,,1,,,2,,4,,3,,2,,,,,,,,,,,,
core/java/android/view/WindowManagerImpl.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
core/java/android/webkit/WebChromeClient.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/widget/AbsListView.java,,,,,1,,,1,,9,,6,1,2,,,,,,,,,,,,
core/java/android/widget/ListView.java,1,,,3,1,,,1,1,2,,6,4,,,,,,,,,3,,,,
core/java/android/widget/OverScroller.java,,,,,2,,,2,,4,,6,,1,,,,,,,,,,,,
core/java/android/widget/Scroller.java,,,,,1,,,1,,2,,2,,1,,,,,,,,,,,,
core/java/com/android/internal/content/FileSystemProvider.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
core/java/com/android/internal/os/BatteryStatsImpl.java,,,,,,,,2,,1,,3,,,,,,,,,,,,,,
core/java/com/android/internal/widget/LockPatternUtils.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
keystore/java/android/security/keystore/AndroidKeyStoreSpi.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
location/java/android/location/LocationManager.java,,,,,,,,1,,,,17,,,,,,,,,,,,,,
media/java/android/media/AudioFormat.java,,,,,,,,2,,7,,4,,,,,,,,,,,,,,
media/java/android/media/AudioManager.java,,,,,,,,1,,,,8,,1,,,,,,,,,,,,
media/java/android/media/AudioRecord.java,,,,,,,,1,,,,4,,,,,,,,,,,,,,
