file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
core/java/android/accounts/AccountManager.java,,,,,,,,15,,,,38,,,,,,,,,,,,,,
core/java/android/app/ActivityManagerInternal.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/app/ActivityThread.java,,,,,1,,,11,,,,38,,9,2,,,,,,,,,,1,
core/java/android/app/backup/SharedPreferencesBackupHelper.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/app/Instrumentation.java,,,,,,,,1,,,,9,,,,,,,,,,,,,,
core/java/android/app/UriGrantsManager.java,,,,,,,,2,,,2,5,,,4,,,,,,,,,,,
core/java/android/app/WallpaperManager.java,,,,,,,,2,,,,1,,,1,,,,,,,,,,,
core/java/android/appwidget/AppWidgetManagerInternal.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothAdapter.java,,,,,,,,2,,,1,26,6,6,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothClass.java,,,,,,,,2,,1,,,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothCodecConfig.java,,,,,,,,1,,9,2,12,,,3,,,,,,,,,,,
core/java/android/bluetooth/BluetoothDevice.java,,,,,,,,2,,16,1,7,5,1,1,,,,,,,1,,,,
core/java/android/bluetooth/BluetoothGatt.java,,,,,,,,1,,,,2,2,,,,,,,,,2,,,,
core/java/android/bluetooth/BluetoothGattServer.java,,,,,,,,1,,,,1,1,,,,,,,,,1,,,,
core/java/android/bluetooth/BluetoothHeadset.java,,,1,,,,,2,,5,2,16,1,,3,,,,,,,,,,,
core/java/android/bluetooth/BluetoothManager.java,,,,,,,,1,,,,1,1,,1,,,,,,,1,,,,
core/java/android/bluetooth/BluetoothProfile.java,,,,,,,,1,,7,1,1,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothSocket.java,,,,,,,,1,,,,1,2,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothUuid.java,,,,,,,,1,,6,,,,,,,,,,,,,,,,
core/java/android/bluetooth/le/AdvertiseData.java,,,,1,,,,3,,2,1,7,2,2,,,,,,,,,,,1,
core/java/android/bluetooth/le/BluetoothLeAdvertiser.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/bluetooth/le/BluetoothLeScanner.java,,,,,,,,2,,,,3,1,1,,,,,,,,,,,,
core/java/android/bluetooth/le/BluetoothLeUtils.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/bluetooth/le/PeriodicAdvertisingCallback.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/bluetooth/le/PeriodicAdvertisingManager.java,,,,,,,,2,,,,1,4,,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanFilter.java,,,,1,,,,3,,12,1,8,7,7,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanRecord.java,,,,1,,,,1,,4,,3,2,2,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanResult.java,,,,,,,,1,,1,,5,2,,,,,,,,,,,,,
core/java/android/bluetooth/le/ScanSettings.java,,,,,,,,2,,1,,1,,,,,,,,,,,,,,
core/java/android/content/ContentResolver.java,,,,,,,,2,,,,22,,,,,,,,,,,,,,
core/java/android/content/Intent.java,,,,,,,,1,,1,,12,,,,,,,,,,,,,,
core/java/android/content/pm/ApplicationInfo.java,,,,,2,,,2,,2,3,9,3,,,,,,,,,,,,,
core/java/android/content/res/CompatibilityInfo.java,,,,,1,,,2,,1,,14,,2,,,,,,,,,,,,
core/java/android/database/RedactingCursor.java,,,,,,,,1,,,1,15,,,13,,,,,,,,,,,
