file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
apct-tests/perftests/windowmanager/src/android/wm/RecentsAnimationPerfTest.java,,,,,,,,2,,,,2,1,,1,,,,,,,,,,,
apct-tests/perftests/windowmanager/src/android/wm/WindowAddRemovePerfTest.java,,,,,1,,,2,,1,,1,,,,,,,,,,,,,,
apex/appsearch/framework/java/external/android/app/appsearch/AppSearchBatchResult.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
apex/appsearch/framework/java/external/android/app/appsearch/util/SchemaMigrationUtil.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
apex/appsearch/service/java/com/android/server/appsearch/AppSearchManagerService.java,,,,1,,,,2,,,,19,2,19,10,,,,,,,,,1,,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchImpl.java,,,,2,1,,,1,,,,3,,3,1,,,,,,,,,,2,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchLogger.java,,,,,1,,,1,,,,1,,,,,,,,,,,,,,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/AppSearchLoggerHelper.java,,,,,1,,,1,,,,1,1,1,,,,,,,,,,,,
apex/appsearch/service/java/com/android/server/appsearch/external/localstorage/stats/SearchStats.java,,,,,,,,1,,1,,,,,,,,,,,,,,,,
apex/appsearch/service/java/com/android/server/appsearch/stats/PlatformLogger.java,,,,,1,,,1,,,,1,,,,,,,,,,,,,,
apex/appsearch/service/java/com/android/server/appsearch/visibilitystore/VisibilityStoreImpl.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
apex/appsearch/testing/java/com/android/server/appsearch/testing/external/AppSearchTestUtils.java,,,,,8,,,1,1,,,,,,,,,,,,,,,,,
cmds/sm/src/com/android/commands/sm/Sm.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/accessibilityservice/AccessibilityService.java,,,,,3,,,2,1,,,4,2,1,1,,,,,,,,,,,
core/java/android/accounts/AccountManager.java,,,,,,,,15,,,,36,,,,,,,,,,,,,,
core/java/android/app/Activity.java,,,,,,,,1,,,,3,1,,,,,,,,,,,,,
core/java/android/app/ActivityClient.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/app/ActivityManager.java,,,,,,,,1,,3,,,3,,,,,,,,,,,,,
core/java/android/app/ActivityManagerInternal.java,,,,,,,,1,,,,,4,,,,,,,,,,,,,
core/java/android/app/ActivityOptions.java,,,1,,1,,,1,,2,2,7,2,,,,,,,,,,,,,
core/java/android/app/ActivityTaskManager.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/app/ActivityThread.java,,3,,6,14,,,11,,1,,51,6,17,9,,,,,,,1,,1,4,
core/java/android/app/ActivityThreadInternal.java,,,,1,,,,1,,,,1,1,,,,,,,,,,,1,,
core/java/android/app/ActivityTransitionCoordinator.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/app/admin/DevicePolicyManager.java,,,,,,,,1,,,,10,4,,1,,,,,,,,,,,
core/java/android/app/Application.java,,,,,,,,2,,,,,2,,,,,,,,,,,,,
core/java/android/app/backup/SharedPreferencesBackupHelper.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/app/ClientTransactionHandler.java,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/app/compat/PackageOverride.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/app/ConfigurationController.java,,,,,1,,,1,,,,1,,1,3,,,,,,,,,,,
core/java/android/app/Dialog.java,,,,,,,,1,,1,,1,1,,,,,,,,,,,,,
core/java/android/app/DirectAction.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
core/java/android/app/DisabledWallpaperManager.java,,,,,,,,1,,,,10,1,,,,,,,,,,,,,
core/java/android/app/Instrumentation.java,,,,,,,,2,,,,8,1,,,,,,,,,,,,,
core/java/android/app/LoadedApk.java,,,,,,,,1,,,,,2,,,,,,,,,,,,,
core/java/android/app/Notification.java,,,,,,,,2,,,,3,,2,,,,,,,,,,,,
core/java/android/app/PendingIntent.java,,,,,2,,,1,,,,1,,,1,,,,,,,,,,,
core/java/android/app/RemoteServiceException.java,,,,,2,,,2,5,,1,1,2,,,,,1,,,,,,,,
core/java/android/app/ResourcesManager.java,1,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/app/servertransaction/ActivityResultItem.java,,,,,3,,,1,,1,,,1,,,,,,,,,,,,,
core/java/android/app/servertransaction/ActivityTransactionItem.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
core/java/android/app/servertransaction/TransferSplashScreenViewStateItem.java,,,,1,1,,,1,,1,,4,,,,,,,,,,,,,1,1
core/java/android/app/Service.java,,,,,1,,,1,,1,,2,3,,,,,,,,,,,,,
core/java/android/app/ServiceStartNotAllowedException.java,,,,,,,,1,,,,,1,,,,,,,,,,,,,
core/java/android/app/StatusBarManager.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
core/java/android/app/TaskInfo.java,,,,,1,,,1,,2,,4,1,,,,,,,,,,,,,
core/java/android/app/UriGrantsManager.java,,,,,,,,2,,,2,5,,,4,,,,,,,,,,,
core/java/android/app/WallpaperInfo.java,,,,,,,,1,,1,,3,1,,,,,,,,,,,,,
core/java/android/app/WallpaperManager.java,,,,,,,,3,,3,1,6,,3,7,,,,,,,,,,,
core/java/android/appwidget/AppWidgetHostView.java,,,,,1,,,1,,1,,7,,1,1,,,,,1,,,,,,
core/java/android/bluetooth/BluetoothAdapter.java,,,,,,,,3,,,2,27,7,6,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothClass.java,,,,,,,,2,,1,,,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothCodecConfig.java,,,,,,,,1,,10,2,12,,,3,,,,,,,,,,,
core/java/android/bluetooth/BluetoothDevice.java,,,1,1,,,,2,,16,1,10,5,3,1,,,,,,,1,,,,
core/java/android/bluetooth/BluetoothGatt.java,,,1,1,,,,1,,,,4,1,,,,,,,,,1,,,,
core/java/android/bluetooth/BluetoothHeadset.java,,,,,,,,2,,5,2,13,2,,3,,,,,,,,,,,
core/java/android/bluetooth/BluetoothProfile.java,,,,,,,,1,,8,1,1,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothSocket.java,,,,,,,,1,,,,1,2,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothUuid.java,,,,,,,,1,,7,,,,,,,,,,,,,,,,
core/java/android/bluetooth/le/AdvertiseData.java,,,,1,,,,3,,2,1,7,2,2,,,,,,,,,,,,
