file,access_modify,final_modify,annotation_modify,param_modify,import_extensive,parent_class_modify,parent_interface_modify,class_body_modify,inner_extensive_class,class_var_extensive,class_var_modify,method_body_modify,method_extensive,method_var_extensive,method_var_modify,Move Class,Rename Class,Move And Rename Class,Move Method,Rename Method,Move And Rename Method,Extract Method,Extract And Move Method,Rename Parameter,Add Parameter,Remove Parameter
core/java/android/app/admin/DevicePolicyManager.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
core/java/android/app/admin/SystemUpdateInfo.java,,,,,,,,1,,,,2,,,,,,,,,,,,,,
core/java/android/bluetooth/BluetoothDevice.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/hardware/Camera.java,,,,,,,,4,1,122,,3,102,2,,,,,,,,,,,,
core/java/android/net/ConnectivityManager.java,,,,,,,,1,,2,,,,,,,,,,,,,,,,
core/java/android/net/NetworkPolicyManager.java,,,,,,,,1,,6,,,,,,,,,,,,,,,,
core/java/android/net/NetworkUtils.java,,,,1,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/net/util/DnsUtils.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
core/java/android/os/Build.java,,,,,,,,1,,1,,,,,,,,,,,,,,,,
core/java/android/os/StrictMode.java,,,,,,,,1,,2,,1,,,1,,,,,,,,,,,
core/java/android/provider/Settings.java,,,,,,,,4,,15,,,,,,,,,,,,,,,,
core/java/android/speech/tts/TtsEngines.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/android/widget/ProgressBar.java,,,,,2,,,1,,1,,1,,,,,,,,,,,,,,
core/java/android/widget/SelectionActionModeHelper.java,,,,,,,,3,,,,12,,,10,,,,,2,,,,,,
core/java/com/android/internal/app/ChooserActivity.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/app/ResolverActivity.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/BrightnessSynchronizer.java,,,,,,,,2,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/os/BatteryStatsImpl.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/os/Zygote.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
core/java/com/android/internal/widget/PointerLocationView.java,,,,,,,,1,,,,1,,,1,,,,,,,,,,,
media/java/android/media/Ringtone.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
media/java/android/media/RingtoneManager.java,,,,,1,,,1,,,,2,1,2,1,,,,,,,,,,,
packages/CarrierDefaultApp/src/com/android/carrierdefaultapp/CaptivePortalLoginActivity.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/bluetooth/BluetoothEventManager.java,,,,,2,,,4,,,,4,,,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/display/DisplayDensityUtils.java,,,,,,,,1,,,2,,,,,,,,,,,,,,,
packages/SettingsLib/src/com/android/settingslib/wifi/WifiStatusTracker.java,,,,,1,,,1,,,,3,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/backup/GlobalSettings.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/backup/SecureSettings.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/backup/SystemSettings.java,,,,,,,,1,,,1,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/validators/SecureSettingsValidators.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
packages/SettingsProvider/src/android/provider/settings/validators/SystemSettingsValidators.java,,,,,,,,1,,,,,,,,,,,,,,,,,,
packages/SettingsProvider/src/com/android/providers/settings/SettingsProvider.java,,,,,,,,3,,,,1,,,,,,,,,,,,,,
packages/SystemUI/src/com/android/keyguard/clock/ClockManager.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
packages/SystemUI/src/com/android/keyguard/KeyguardClockSwitch.java,,,,,,,,1,,,,1,,,,,,,,,,,,,,
packages/SystemUI/src/com/android/keyguard/KeyguardPinBasedInputView.java,1,,,,,,,1,,,,2,1,,,,,,,,,1,,,,
packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java,,,,,2,,,1,,2,,1,1,8,,,,,,,,,,,,
packages/SystemUI/src/com/android/keyguard/NumPadKey.java,1,,,1,1,,,1,,,,2,2,,,,,,,,,1,,,,
packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java,,,,,1,,,1,1,5,,1,1,,,,,,,,,,,,,
packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java,,,,,,,,2,,2,1,4,2,2,1,,,,,,,,,,,
packages/SystemUI/src/com/android/systemui/qs/SecureSetting.java,1,,,,,,,1,,1,1,3,1,,,,,,,,,,,,,
packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSFactoryImpl.java,,,,1,6,,,1,,6,,2,,,,,,,,,,,,,1,
packages/SystemUI/src/com/android/systemui/qs/tileimpl/QSTileImpl.java,1,,,1,2,,,1,,1,,4,1,,,,,,,,,1,,,,
