name,whitelist_Call,whitelist_Aggregate,whitelist_UseVar,whitelist_Define,whitelist_Typed,whitelist_Set,whitelist_Modify,whitelist_Annotate,whitelist_Parameter,whitelist_Reflect,whitelist_Override,whitelist_Inherit,whitelist_Implement,whitelist_Cast,whitelist_Call non-dynamic,AGG_SUM,TYPED_SUM
android.content.Context.getString,60,,,,,,,,,,,,,,,60,60
android.hardware.Camera.Parameters.get,48,,,,,,,,,,,,,,,48,48
android.util.Log.e,45,,,,,,,,,,,,,,,45,45
android.os.Parcel.writeInt,41,,,,,,,,,,,,,,,41,41
android.os.Parcel.readInt,41,,,,,,,,,,,,,,,41,41
android.hardware.Camera.Parameters.set,34,,,,,,,,,,,,,,,34,34
android.content.Context.getContentResolver,31,,,,,,,,,,,,,,,31,31
android.util.Log.d,25,,,,,,,,,,,,,,,25,25
android.util.Log.w,17,,,,,,,,,,,,,,,17,17
android.content.Context.getResources,15,,,,,,,,,,,,,,,15,15
android.os.Parcel.readLong,15,,,,,,,,,,,,,,,15,15
android.os.Parcel.writeLong,15,,,,,,,,,,,,,,,15,15
android.view.View.findViewById,14,,,,,,,,,,,,,,,14,14
android.os.Handler.post,11,,,,,,,,,,,,,,,11,11
android.os.PowerManager.WakeLock.isHeld,10,,,,,,,,,,,,,,,10,10
android.os.RemoteException.rethrowFromSystemServer,8,,,,,,,,,,,,,,,8,8
android.util.Log.i,8,,,,,,,,,,,,,,,8,8
android.widget.ImageView.setVisibility,8,,,,,,,,,,,,,,,8,8
android.content.Context.registerReceiver,7,,,,,,,,,,,,,,,7,7
android.widget.TextView.setText,7,,,,,,,,,,,,,,,7,7
android.view.View.setVisibility,7,,,,,,,,,,,,,,,7,7
android.content.Context.getSystemService,7,,,,,,,,,,,,,,,7,7
android.content.ContentResolver.registerContentObserver,7,,,,,,,,,,,,,,,7,7
android.graphics.Canvas.drawRect,7,,,,,,,,,,,,,,,7,7
android.content.Context.enforceCallingOrSelfPermission,7,,,,,,,,,,,,,,,7,7
android.hardware.Camera.Parameters.getInt,6,,,,,,,,,,,,,,,6,6
android.content.res.Resources.getStringArray,6,,,,,,,,,,,,,,,6,6
android.view.MotionEvent.getAction,6,,,,,,,,,,,,,,,6,6
android.content.ComponentName.getPackageName,6,,,,,,,,,,,,,,,6,6
android.bluetooth.BluetoothAdapter.getDefaultAdapter,5,,,,,,,,,,,,,,,5,5
android.os.SystemProperties.get,5,,,,,,,,,,,,,,,5,5
android.content.Intent.getIntExtra,5,,,,,,,,,,,,,,,5,5
android.widget.ImageView.setImageDrawable,5,,,,,,,,,,,,,,,5,5
android.widget.ImageView.setImageResource,5,,,,,,,,,,,,,,,5,5
android.view.LayoutInflater.inflate,5,,,,,,,,,,,,,,,5,5
android.text.TextUtils.isEmpty,5,,,,,,,,,,,,,,,5,5
android.content.Context.unregisterReceiver,5,,,,,,,,,,,,,,,5,5
android.os.Message.sendToTarget,5,,,,,,,,,,,,,,,5,5
android.util.SparseBooleanArray.put,5,,,,,,,,,,,,,,,5,5
android.os.Binder.clearCallingIdentity,5,,,,,,,,,,,,,,,5,5
android.os.Binder.restoreCallingIdentity,5,,,,,,,,,,,,,,,5,5
android.content.res.Resources.getInteger,5,,,,,,,,,,,,,,,5,5
android.os.Parcel.writeString,4,,,,,,,,,,,,,,,4,4
android.os.Parcel.readString,4,,,,,,,,,,,,,,,4,4
android.content.res.Resources.getBoolean,4,,,,,,,,,,,,,,,4,4
android.util.Log.v,4,,,,,,,,,,,,,,,4,4
android.content.Intent.getAction,4,,,,,,,,,,,,,,,4,4
android.os.Handler.removeMessages,4,,,,,,,,,,,,,,,4,4
android.view.View.getContext,4,,,,,,,,,,,,,,,4,4
android.graphics.Paint.setColor,4,,,,,,,,,,,,,,,4,4
android.graphics.Paint.setAntiAlias,4,,,,,,,,,,,,,,,4,4
android.content.res.Resources.getDimensionPixelSize,4,,,,,,,,,,,,,,,4,4
android.view.WindowManager.getDefaultDisplay,4,,,,,,,,,,,,,,,4,4
android.view.View.getParent,4,,,,,,,,,,,,,,,4,4
android.view.ViewPropertyAnimator.withEndAction,4,,,,,,,,,,,,,,,4,4
android.view.ViewPropertyAnimator.setDuration,4,,,,,,,,,,,,,,,4,4
android.view.ViewPropertyAnimator.alpha,4,,,,,,,,,,,,,,,4,4
android.view.View.animate,4,,,,,,,,,,,,,,,4,4
android.view.LayoutInflater.from,4,,,,,,,,,,,,,,,4,4
android.app.Dialog.dismiss,4,,,,,,,,,,,,,,,4,4
android.view.View.getLayoutParams,4,,,,,,,,,,,,,,,4,4
android.os.SystemClock.elapsedRealtime,4,,,,,,,,,,,,,,,4,4
android.content.IntentFilter.addAction,4,,,,,,,,,,,,,,,4,4
android.database.ContentObserver.onChange,,,,,,,,,,,4,,,,,4,4
android.os.Handler.removeCallbacks,4,,,,,,,,,,,,,,,4,4
android.text.TextUtils.htmlEncode,3,,,,,,,,,,,,,,,3,3
android.provider.Settings.Secure.getInt,3,,,,,,,,,,,,,,,3,3
android.content.Intent.getBooleanExtra,3,,,,,,,,,,,,,,,3,3
android.view.View.getResources,3,,,,,,,,,,,,,,,3,3
android.graphics.Canvas.drawCircle,3,,,,,,,,,,,,,,,3,3
android.view.Display.getRotation,3,,,,,,,,,,,,,,,3,3
android.view.ViewManager.updateViewLayout,3,,,,,,,,,,,,,,,3,3
android.view.View.invalidate,3,,,,,,,,,,,,,,,3,3
android.content.pm.PackageManager.hasSystemFeature,3,,,,,,,,,,,,,,,3,3
android.app.Dialog.show,3,,,,,,,,,,,,,,,3,3
android.app.ActivityManager.getCurrentUser,3,,,,,,,,,,,,,,,3,3
android.content.ContentResolver.unregisterContentObserver,3,,,,,,,,,,,,,,,3,3
android.view.View.setLayoutDirection,3,,,,,,,,,,,,,,,3,3
android.view.View.getDisplay,3,,,,,,,,,,,,,,,3,3
android.media.audiofx.Visualizer.setEnabled,3,,,,,,,,,,,,,,,3,3
android.content.ComponentName.getClassName,3,,,,,,,,,,,,,,,3,3
android.os.IBinder.linkToDeath,2,,,,,,,,,,,,,,,2,2
android.content.ContentValues.put,2,,,,,,,,,,,,,,,2,2
android.content.ContentResolver.update,2,,,,,,,,,,,,,,,2,2
android.content.ContentUris.withAppendedId,2,,,,,,,,,,,,,,,2,2
android.app.DownloadManager.COLUMN_STATUS,,,2,,,,,,,,,,,,,2,2
android.content.res.Resources.getString,2,,,,,,,,,,,,,,,2,2
android.bluetooth.BluetoothDevice.getAddress,2,,,,,,,,,,,,,,,2,2
android.os.Looper.getMainLooper,2,,,,,,,,,,,,,,,2,2
android.hardware.Camera.Parameters.unflatten,2,,,,,,,,,,,,,,,2,2
android.provider.Settings.System.getInt,2,,,,,,,,,,,,,,,2,2
android.bluetooth.BluetoothAdapter.getRemoteDevice,2,,,,,,,,,,,,,,,2,2
android.os.Handler.sendEmptyMessage,2,,,,,,,,,,,,,,,2,2
android.view.ViewGroup.removeView,2,,,,,,,,,,,,,,,2,2
android.widget.ImageView.onDraw,,,,,,,,,,,1,,,,1,2,2
android.view.MotionEvent.getAxisValue,2,,,,,,,,,,,,,,,2,2
android.widget.ImageView.setScaleType,2,,,,,,,,,,,,,,,2,2
android.content.res.Resources.getColor,2,,,,,,,,,,,,,,,2,2
android.view.WindowManager.LayoutParams.setTitle,2,,,,,,,,,,,,,,,2,2
android.view.ViewManager.addView,2,,,,,,,,,,,,,,,2,2
android.view.View.setKeepScreenOn,2,,,,,,,,,,,,,,,2,2
android.view.ViewPropertyAnimator.start,2,,,,,,,,,,,,,,,2,2
