name,blacklist_Call,blacklist_Aggregate,blacklist_UseVar,blacklist_Define,blacklist_Typed,blacklist_Set,blacklist_Modify,blacklist_Annotate,blacklist_Parameter,blacklist_Reflect,blacklist_Override,blacklist_Inherit,blacklist_Implement,blacklist_Cast,blacklist_Call non-dynamic,AGG_SUM,TYPED_SUM
android.content.Context,,6,,,44,,,,,4,,,,,,10,48
android.view.View,,5,,,22,,,,,,,1,,,,6,23
android.bluetooth.BluetoothDevice.mAttributionSource,,,4,,,,,,,,,,,,,4,4
android.bluetooth.BluetoothDevice,,2,,,71,,,,,2,,,,,,4,73
android.content.Intent,,4,,,21,,,,,,,,,,,4,21
android.bluetooth.BluetoothAdapter,,3,,,3,,,,,,,,,,,3,3
android.widget.ImageView,,3,,,1,,,,,,,,,,,3,1
android.os.Handler,,1,,,16,,,,,1,,,,,,2,17
android.content.AttributionSource,,2,,,,,,,,,,,,,,2,0
android.bluetooth.BluetoothAdapter.getAttributionSource,2,,,,,,,,,,,,,,,2,2
android.os.ParcelUuid,,1,,,4,,,,,1,,,,,,2,5
com.android.internal.os.BatteryStatsHistory.TAG,,,2,,,,,,,,,,,,,2,2
com.android.internal.os.BatteryStatsHistory.DEBUG,,,2,,,,,,,,,,,,,2,2
com.android.internal.os.BatteryStatsImpl.mStatsFile,,,,,,1,1,,,,,,,,,2,2
com.android.internal.os.BatteryStatsImpl.mBatteryStatsHistory,,,,,,1,1,,,,,,,,,2,2
com.android.internal.widget.LockPatternUtils.setBoolean,2,,,,,,,,,,,,,,,2,2
com.android.internal.widget.LockPatternUtils.getBoolean,2,,,,,,,,,,,,,,,2,2
android.graphics.drawable.Drawable,,2,,,2,,,,,,,,,,,2,2
android.graphics.Bitmap,,2,,,7,,,,,,,,,,,2,7
android.app.NotificationManager,,1,,,,,,,,1,,,,,,2,1
android.media.AudioManager,,2,,,,,,,,,,,,,,2,0
android.bluetooth.BluetoothAdapter.mAttributionSource,,,1,,,,,,,,,,,,,1,1
android.net.VpnManager.mService,,,1,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsHistory.mHistoryDir,,,1,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsHistory.writeToParcel,1,,,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsHistory.getFile,1,,,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsHistory.mFileNumbers,,,1,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsHistory.readFromParcel,1,,,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsHistory.mHistoryParcels,,,,,,,1,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.Clocks.currentTimeMillis,1,,,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.mCheckinFile,,,,,,1,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.mDailyFile,,,,,,1,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.mMeasuredEnergyRetriever,,,,,,1,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.mStartClockTimeMs,,,,,,1,,,,,,,,,,1,1
com.android.internal.view.RotationPolicy.TAG,,,1,,,,,,,,,,,,,1,1
com.android.internal.widget.LockPatternUtils.TAG,,,1,,,,,,,,,,,,,1,1
com.android.internal.widget.LockPatternUtils.getLong,1,,,,,,,,,,,,,,,1,1
com.android.internal.widget.LockPatternView.mDotSize,,,1,,,,,,,,,,,,,1,1
com.android.internal.widget.LockPatternView.mLineFadeStart,,,,,,,1,,,,,,,,,1,1
android.content.pm.PackageManager,,1,,,2,,,,,,,,,,,1,2
com.android.internal.os.BatteryStatsImpl.onSystemReady,1,,,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.initTimersAndCounters,1,,,,,,,,,,,,,,,1,1
com.android.internal.os.BatteryStatsImpl.informThatAllExternalStatsAreFlushed,1,,,,,,,,,,,,,,,1,1
android.provider.Settings,,,,,,,,,,1,,,,,,1,1
