Merge,Conflicts,Javas,AST
82ca638edd627c1b70aae1505f06c8ddaef731d2,1,1,"[['services/core/java/com/android/server/BluetoothManagerService.java', [[1308, 1310, 3, 8, ['<com.android.server.BluetoothManagerService: boolean bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)>#1306#1343']]], [[1239, 1243, 5, 10, ['<com.android.server.BluetoothManagerService: boolean bindBluetoothProfileService(int,IBluetoothProfileServiceConnection)>#1237#1274']]]]]"
24adcf1303bc4e0f0203c9ea0c691d7faa0c2aba,16,14,"[['packages/SettingsLib/src/com/android/settingslib/wifi/WifiEntryPreference.java', [[67, 69, 3, 0, []], [142, 152, 11, 36, ['<com.android.settingslib.wifi.WifiEntryPreference: void refresh()>#139#171']], [211, 211, 1, 9, ['<com.android.settingslib.wifi.WifiEntryPreference: void updateIcon(int,int,boolean)>#211#225']], [217, 217, 1, 8, ['<com.android.settingslib.wifi.WifiEntryPreference: void updateIcon(int,int,boolean)>#211#225']]], [[67, 67, 1, 0, []], [140, 144, 5, 16, ['<com.android.settingslib.wifi.WifiEntryPreference: void refresh()>#137#150']], [190, 190, 1, 7, ['<com.android.settingslib.wifi.WifiEntryPreference: void updateIcon(boolean,int)>#190#204']], [196, 196, 1, 7, ['<com.android.settingslib.wifi.WifiEntryPreference: void updateIcon(boolean,int)>#190#204']]]], ['services/core/java/com/android/server/net/NetworkStatsSubscriptionsMonitor.java', [[105, 106, 2, 6, ['<com.android.server.net.NetworkStatsSubscriptionsMonitor: void onSubscriptionsChanged()>#91#125']]], [[109, 110, 2, 7, ['<com.android.server.net.NetworkStatsSubscriptionsMonitor: void onSubscriptionsChanged()>#91#130']]]], ['core/java/android/app/ResourcesManager.java', [[133, 134, 2, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/audio/AudioService.java', [[3715, 3716, 2, 7, ['<com.android.server.audio.AudioService.SetModeDeathHandler: void binderDied()>#3702#3717']]], [[3781, 3781, 1, 5, ['<com.android.server.audio.AudioService.SetModeDeathHandler: void binderDied()>#3767#3782']]]], ['packages/SettingsLib/src/com/android/settingslib/Utils.java', [[380, 380, 1, 5, ['<com.android.settingslib.Utils: int getWifiIconResource(int)>#379#381']], [386, 407, 22, 33, ['<com.android.settingslib.Utils: int getWifiIconResource(int,int,boolean)>#389#408']]], [[364, 364, 1, 3, ['<com.android.settingslib.Utils: int getWifiIconResource(int)>#363#365']], [370, 379, 10, 21, ['<com.android.settingslib.Utils: int getWifiIconResource(boolean,int)>#375#380']]]], ['services/core/java/com/android/server/BluetoothManagerService.java', [[98, 98, 1, 0, []]], [[98, 99, 2, 0, []]]], ['services/core/java/com/android/server/am/CachedAppOptimizer.java', [[286, 358, 73, 217, ['<com.android.server.am.CachedAppOptimizer: void setAppCompactProperties()>#291#359', '<com.android.server.am.CachedAppOptimizer: void init()>#272#289']]], [[0, 0, 0, 0, []]]], ['core/tests/coretests/src/android/view/InsetsControllerTest.java', [[0, 0, 0, 0, []]], [[763, 855, 93, 193, ['<android.view.InsetsControllerTest: void testInsetsChangedCount_onStateChanged()>#825#857', '<android.view.InsetsControllerTest: void testInsetsChangedCount_controlSystemBars()>#767#793', '<android.view.InsetsControllerTest: void testInsetsChangedCount_controlIme()>#796#822']]]], ['telephony/java/android/telephony/CellIdentityNr.java', [[0, 0, 0, 0, []]], [[62, 62, 1, 2, ['<android.telephony.CellIdentityNr: void <init>()>#54#63']]]], ['core/java/android/bluetooth/BluetoothCodecConfig.java', [[64, 78, 15, 0, []]], [[66, 72, 7, 0, []]]], ['services/core/java/com/android/server/connectivity/Vpn.java', [[51, 51, 1, 0, []], [2798, 2822, 25, 69, ['<com.android.server.connectivity.Vpn.LegacyVpnRunner: void bringup()>#2660#2851']]], [[51, 51, 1, 0, []], [2968, 2976, 9, 25, ['<com.android.server.connectivity.Vpn.LegacyVpnRunner: void bringup()>#2859#3005']]]], ['packages/SystemUI/src/com/android/systemui/ScreenDecorations.java', [[597, 597, 1, 5, ['<com.android.systemui.ScreenDecorations: void updateRoundedCornerRadii()>#596#624']]], [[614, 619, 6, 10, ['<com.android.systemui.ScreenDecorations: void updateRoundedCornerRadii()>#613#647']]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[3860, 3894, 35, 0, []], [4432, 4452, 21, 0, []]], [[3876, 3906, 31, 0, []], [4443, 4445, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/WifiSignalController.java', [[127, 127, 1, 3, ['<com.android.systemui.statusbar.policy.WifiSignalController: void notifyListeners(SignalCallback)>#123#141']]], [[87, 88, 2, 4, ['<com.android.systemui.statusbar.policy.WifiSignalController: void notifyListeners(SignalCallback)>#81#102']]]]]"
fd65619dfea934f9f1f28a80e9599e2d8e3e77f3,1,1,"[['services/core/java/com/android/server/wm/TaskDisplayArea.java', [[57, 57, 1, 0, []]], [[55, 55, 1, 0, []]]]]"
784ecc8e9194775f58ad5a45422ed16570bcbee6,1,1,"[['services/core/java/com/android/server/wm/ActivityRecord.java', [[271, 271, 1, 0, []]], [[271, 271, 1, 0, []]]]]"
2ac0c608ad88dc1f3372e099b5359013be7b14c7,1,1,"[['services/core/java/com/android/server/locksettings/LockSettingsService.java', [[2009, 2017, 9, 26, ['<com.android.server.locksettings.LockSettingsService: VerifyCredentialResponse checkCredential(LockscreenCredential,int,ICheckCredentialProgressCallback)>#2006#2018']]], [[1970, 1974, 5, 7, ['<com.android.server.locksettings.LockSettingsService: VerifyCredentialResponse checkCredential(LockscreenCredential,int,ICheckCredentialProgressCallback)>#1967#1975']]]]]"
f6f595c8a4c17ed2347482c43e2cccc89531224e,5,5,"[['packages/Tethering/src/com/android/networkstack/tethering/TetheringConfiguration.java', [[129, 133, 5, 15, ['<com.android.networkstack.tethering.TetheringConfiguration: void <init>(Context,SharedLog,int)>#118#164']]], [[128, 129, 2, 12, ['<com.android.networkstack.tethering.TetheringConfiguration: void <init>(Context,SharedLog,int)>#117#160']]]], ['packages/Tethering/common/TetheringLib/src/android/net/TetheringManager.java', [[0, 0, 0, 0, []]], [[177, 178, 2, 0, []]]], ['wifi/java/android/net/wifi/WifiEnterpriseConfig.java', [[97, 97, 1, 0, []]], [[97, 97, 1, 0, []]]], ['packages/Tethering/src/com/android/networkstack/tethering/Tethering.java', [[500, 500, 1, 3, ['<com.android.networkstack.tethering.Tethering: void interfaceStatusChanged(String,boolean)>#492#511']]], [[499, 500, 2, 6, ['<com.android.networkstack.tethering.Tethering: void interfaceStatusChanged(String,boolean)>#491#511']]]], ['packages/Tethering/src/android/net/ip/IpServer.java', [[620, 621, 2, 6, ['<android.net.ip.IpServer: boolean configureIPv4(boolean)>#596#643']]], [[620, 621, 2, 6, ['<android.net.ip.IpServer: boolean configureIPv4(boolean)>#596#643']]]]]"
16b3016242e827fda9a012966efd91c9a6f99b80,2,1,"[['packages/Tethering/src/android/net/ip/IpServer.java', [[619, 620, 2, 4, ['<android.net.ip.IpServer: boolean configureIPv4(boolean)>#595#641']]], [[620, 621, 2, 4, ['<android.net.ip.IpServer: boolean configureIPv4(boolean)>#596#642']]]]]"
1c4355c56d0cb5872be5b1f0b397f54e86822c7a,1,0,[]
e2769f8250366c5a1be9a1b8ba67f17268e6cdd2,1,0,[]
19ac51594dd13e5a2e702d2c50b290f1f71a9fc0,1,1,"[['packages/SystemUI/src/com/android/systemui/qs/QSPanel.java', [[147, 157, 11, 20, ['<com.android.systemui.qs.QSPanel: void <init>(Context,AttributeSet,DumpManager,BroadcastDispatcher,QSLogger,MediaHost,UiEventLogger)>#120#162']]], [[207, 217, 11, 23, ['<com.android.systemui.qs.QSPanel: void addViewsAboveTiles()>#214#220', '<com.android.systemui.qs.QSPanel: void <init>(Context,AttributeSet,DumpManager,BroadcastDispatcher,QSLogger,MediaHost,UiEventLogger)>#147#208', '<com.android.systemui.qs.QSPanel: void addSecurityFooter()>#210#212']]]]]"
