Merge,Conflicts,Javas,AST
a7cc087378cb1ec4eb36e2f8e5741b9ca8daf401,2,0,[]
c124bc9f956754d80b1cf5e3da842c19d9088bd9,3,3,"[['services/core/java/com/android/server/policy/PhoneWindowManager.java', [[899, 900, 2, 0, []]], [[821, 821, 1, 0, []]]], ['services/core/java/com/android/server/notification/NotificationManagerService.java', [[1284, 1288, 5, 6, ['<com.android.server.notification.NotificationManagerService: void setHints(int)>#1284#1286']]], [[1264, 1267, 4, 6, ['<com.android.server.notification.NotificationManagerService: void setKeyguardManager(KeyguardManager)>#1264#1266']]]], ['services/tests/uiservicestests/src/com/android/server/notification/BuzzBeepBlinkTest.java', [[155, 157, 3, 9, ['<com.android.server.notification.BuzzBeepBlinkTest: void setUp()>#127#158']]], [[158, 158, 1, 3, ['<com.android.server.notification.BuzzBeepBlinkTest: void setUp()>#129#159']]]]]"
31664aa5defc5bc091dffc8201ef48e540aa21c7,1,1,"[['services/core/java/com/android/server/fingerprint/AuthenticationClient.java', [[20, 20, 1, 0, []], [37, 39, 3, 0, []]], [[26, 26, 1, 0, []], [45, 45, 1, 0, []]]]]"
5df8608656b363f13049855431e2618dd153edaf,1,1,"[['services/core/java/com/android/server/policy/keyguard/KeyguardStateMonitor.java', [[61, 65, 5, 0, []], [107, 135, 29, 41, ['<com.android.server.policy.keyguard.KeyguardStateMonitor: void onShowingStateChanged(boolean)>#103#136']]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []]]]]"
6e7d07c3e9ed000778dede983193c2e8c5691c4e,1,1,"[['tests/net/java/com/android/server/ConnectivityServiceTest.java', [[4075, 4076, 2, 11, ['<com.android.server.ConnectivityServiceTest: void testPrivateDnsSettingsChange()>#3987#4085']]], [[4062, 4086, 25, 75, ['<com.android.server.ConnectivityServiceTest: void testPrivateDnsSettingsChange()>#3965#4095']]]]]"
71911afa2c85bbbf9fa9ee1b4dd616b5681c6562,1,1,"[['core/java/android/text/TextLine.java', [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []]], [[259, 262, 4, 12, ['<android.text.TextLine: void draw(Canvas,float,int,int,int)>#241#291']], [259, 262, 4, 12, ['<android.text.TextLine: void draw(Canvas,float,int,int,int)>#241#291']], [428, 431, 4, 12, ['<android.text.TextLine: float[] measureAllOffsets(boolean[],FontMetricsInt)>#396#483']]]]]"
c84634b9b4278035e2c5b3ef38376ad4eea0c019,1,1,"[['services/core/java/com/android/server/AppOpsService.java', [[28, 28, 1, 0, []], [184, 187, 4, 0, []]], [[0, 0, 0, 0, []], [179, 183, 5, 0, []]]]]"
ab78fedc0100a93b5e9590b0fdc5cfa48386184e,5,4,"[['services/core/java/com/android/server/am/PendingIntentRecord.java', [[347, 350, 4, 11, ['<com.android.server.am.PendingIntentRecord: int sendInner(int,Intent,String,IBinder,IIntentReceiver,String,IBinder,String,int,int,int,Bundle)>#249#413']]], [[347, 349, 3, 12, ['<com.android.server.am.PendingIntentRecord: int sendInner(int,Intent,String,IBinder,IIntentReceiver,String,IBinder,String,int,int,int,Bundle)>#249#411']]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[5690, 5692, 3, 17, ['<com.android.server.am.ActivityManagerService: int startActivities(IApplicationThread,String,Intent[],String[],IBinder,Bundle,int)>#5682#5694']]], [[5601, 5603, 3, 18, ['<com.android.server.am.ActivityManagerService: int startActivities(IApplicationThread,String,Intent[],String[],IBinder,Bundle,int)>#5593#5605']]]], ['services/core/java/com/android/server/am/ActivityStarter.java', [[373, 374, 2, 5, ['<com.android.server.am.ActivityStarter.Request: void reset()>#342#375']]], [[373, 373, 1, 2, ['<com.android.server.am.ActivityStarter.Request: void reset()>#342#374']]]], ['services/core/java/com/android/server/am/ActivityStartController.java', [[288, 288, 1, 4, ['<com.android.server.am.ActivityStartController: int startActivitiesInPackage(int,String,Intent[],String[],IBinder,SafeActivityOptions,int,boolean,PendingIntentRecord)>#286#298']], [296, 302, 7, 33, ['<com.android.server.am.ActivityStartController: int startActivities(IApplicationThread,int,String,Intent[],String[],IBinder,SafeActivityOptions,int,String,PendingIntentRecord)>#300#396', '<com.android.server.am.ActivityStartController: int startActivitiesInPackage(int,String,Intent[],String[],IBinder,SafeActivityOptions,int,boolean,PendingIntentRecord)>#286#298']]], [[284, 288, 5, 14, ['<com.android.server.am.ActivityStartController: int startActivitiesInPackage(int,String,Intent[],String[],IBinder,SafeActivityOptions,int,boolean)>#282#288']], [299, 305, 7, 36, ['<com.android.server.am.ActivityStartController: int startActivities(IApplicationThread,int,int,int,String,Intent[],String[],IBinder,SafeActivityOptions,int,String)>#303#401', '<com.android.server.am.ActivityStartController: int startActivitiesInPackage(int,int,int,String,Intent[],String[],IBinder,SafeActivityOptions,int,boolean)>#290#301']]]]]"
86f624786016fcd90918747cab2b72ca086cd817,1,0,[]
63d76f28fe78b240b481a690e14966fb3838aa3f,3,3,"[['location/java/com/android/internal/location/GpsNetInitiatedHandler.java', [[124, 125, 2, 0, []], [248, 249, 2, 4, ['<com.android.internal.location.GpsNetInitiatedHandler: boolean getInEmergency()>#246#252']]], [[124, 125, 2, 0, []], [248, 250, 3, 6, ['<com.android.internal.location.GpsNetInitiatedHandler: boolean getInEmergency()>#246#253']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java', [[74, 75, 2, 0, []]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/display/DisplayPowerController.java', [[19, 25, 7, 0, []]], [[0, 0, 0, 0, []]]]]"
12930acc5076e1acff0744b8d225bb2d2173f1b5,10,7,"[['packages/SystemUI/src/com/android/systemui/globalactions/GlobalActionsDialog.java', [[35, 36, 2, 0, []], [60, 61, 2, 0, []], [133, 133, 1, 0, []], [373, 374, 2, 11, ['<com.android.systemui.globalactions.GlobalActionsDialog: ActionsDialog createDialog()>#312#462']]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [112, 128, 17, 0, []], [321, 323, 3, 13, ['<com.android.systemui.globalactions.GlobalActionsDialog: ActionsDialog createDialog()>#264#403']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/HotspotControllerImpl.java', [[115, 118, 4, 6, ['<com.android.systemui.statusbar.policy.HotspotControllerImpl: void updateWifiStateListeners(boolean)>#114#126']]], [[0, 0, 0, 0, []]]], ['telephony/java/android/provider/Telephony.java', [[0, 0, 0, 0, []]], [[1181, 1205, 25, 0, []]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[6014, 6025, 12, 19, ['<com.android.server.am.ActivityManagerService: void handleAppDiedLocked(ProcessRecord,boolean,boolean)>#5969#6026']]], [[0, 0, 0, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java', [[67, 67, 1, 0, []]], [[69, 74, 6, 0, []]]], ['packages/SettingsLib/src/com/android/settingslib/dream/DreamBackend.java', [[263, 266, 4, 12, ['<com.android.settingslib.dream.DreamBackend: void launchSettings(DreamInfo)>#259#267']]], [[263, 264, 2, 6, ['<com.android.settingslib.dream.DreamBackend: void launchSettings(Context,DreamInfo)>#259#265']]]], ['packages/SystemUI/src/com/android/keyguard/KeyguardPatternView.java', [[149, 155, 7, 20, ['<com.android.keyguard.KeyguardPatternView: void onFinishInflate()>#139#176']]], [[147, 148, 2, 6, ['<com.android.keyguard.KeyguardPatternView: void onFinishInflate()>#139#169']]]]]"
8f7726cc447f76dd163e9813f1aef8de3907141e,4,4,"[['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBar.java', [[1729, 1743, 15, 31, ['<com.android.systemui.statusbar.phone.StatusBar: void updateMediaMetaData(boolean,boolean)>#1667#1847']], [4083, 4100, 18, 25, ['<com.android.systemui.statusbar.phone.StatusBar: void updateTheme()>#4075#4143']]], [[1678, 1678, 1, 2, ['<com.android.systemui.statusbar.phone.StatusBar: void updateMediaMetaData(boolean,boolean)>#1615#1780']], [3882, 3888, 7, 31, ['<com.android.systemui.statusbar.phone.StatusBar: void updateTheme()>#3876#3926']]]], ['services/core/java/com/android/server/am/ActivityStack.java', [[0, 0, 0, 0, []]], [[1657, 1666, 10, 22, ['<com.android.server.am.ActivityStack: void addToStopping(ActivityRecord,boolean,boolean)>#1654#1686']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/StatusBarWindowView.java', [[41, 41, 1, 0, []]], [[40, 40, 1, 0, []]]], ['services/core/java/com/android/server/notification/NotificationManagerService.java', [[4847, 4848, 2, 6, ['<com.android.server.notification.NotificationManagerService: void buzzBeepBlinkLocked(NotificationRecord)>#4764#4866']]], [[4839, 4839, 1, 3, ['<com.android.server.notification.NotificationManagerService: void buzzBeepBlinkLocked(NotificationRecord)>#4756#4869']]]]]"
